rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司丽水供电公司,35375930
20210402,市级数据,None,国网浙江省电力有限公司丽水供电公司,35784630
20210403,市级数据,None,国网浙江省电力有限公司丽水供电公司,33377908
20210404,市级数据,None,国网浙江省电力有限公司丽水供电公司,26850807
20210405,市级数据,None,国网浙江省电力有限公司丽水供电公司,33926329
20210406,市级数据,None,国网浙江省电力有限公司丽水供电公司,36097337
20210407,市级数据,None,国网浙江省电力有限公司丽水供电公司,36981118
20210408,市级数据,None,国网浙江省电力有限公司丽水供电公司,35909992
20210409,市级数据,None,国网浙江省电力有限公司丽水供电公司,36609471
20210410,市级数据,None,国网浙江省电力有限公司丽水供电公司,36364887
20210411,市级数据,None,国网浙江省电力有限公司丽水供电公司,35956903
20210412,市级数据,None,国网浙江省电力有限公司丽水供电公司,36435547
20210413,市级数据,None,国网浙江省电力有限公司丽水供电公司,37047356
20210414,市级数据,None,国网浙江省电力有限公司丽水供电公司,36836433
20210415,市级数据,None,国网浙江省电力有限公司丽水供电公司,36503707
20210416,市级数据,None,国网浙江省电力有限公司丽水供电公司,35810667
20210417,市级数据,None,国网浙江省电力有限公司丽水供电公司,35500553
20210418,市级数据,None,国网浙江省电力有限公司丽水供电公司,35248592
20210419,市级数据,None,国网浙江省电力有限公司丽水供电公司,35890967
20210420,市级数据,None,国网浙江省电力有限公司丽水供电公司,35966942
20210421,市级数据,None,国网浙江省电力有限公司丽水供电公司,36016119
20210422,市级数据,None,国网浙江省电力有限公司丽水供电公司,35499795
20210423,市级数据,None,国网浙江省电力有限公司丽水供电公司,35992419
20210424,市级数据,None,国网浙江省电力有限公司丽水供电公司,35928169
20210425,市级数据,None,国网浙江省电力有限公司丽水供电公司,35597031
20210426,市级数据,None,国网浙江省电力有限公司丽水供电公司,34052586
20210427,市级数据,None,国网浙江省电力有限公司丽水供电公司,36461341
20210428,市级数据,None,国网浙江省电力有限公司丽水供电公司,35411857
20210429,市级数据,None,国网浙江省电力有限公司丽水供电公司,36138823
20210430,市级数据,None,国网浙江省电力有限公司丽水供电公司,35492649
20210501,市级数据,None,国网浙江省电力有限公司丽水供电公司,27682717
20210502,市级数据,None,国网浙江省电力有限公司丽水供电公司,28564177
