rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司台州供电公司,101817977
20210402,市级数据,None,国网浙江省电力有限公司台州供电公司,104115493
20210403,市级数据,None,国网浙江省电力有限公司台州供电公司,99306786
20210404,市级数据,None,国网浙江省电力有限公司台州供电公司,70201381
20210405,市级数据,None,国网浙江省电力有限公司台州供电公司,93660941
20210406,市级数据,None,国网浙江省电力有限公司台州供电公司,102095103
20210407,市级数据,None,国网浙江省电力有限公司台州供电公司,103073553
20210408,市级数据,None,国网浙江省电力有限公司台州供电公司,106175592
20210409,市级数据,None,国网浙江省电力有限公司台州供电公司,103650403
20210410,市级数据,None,国网浙江省电力有限公司台州供电公司,102651681
20210411,市级数据,None,国网浙江省电力有限公司台州供电公司,100172935
20210412,市级数据,None,国网浙江省电力有限公司台州供电公司,104753108
20210413,市级数据,None,国网浙江省电力有限公司台州供电公司,105851300
20210414,市级数据,None,国网浙江省电力有限公司台州供电公司,106820678
20210415,市级数据,None,国网浙江省电力有限公司台州供电公司,105105852
20210416,市级数据,None,国网浙江省电力有限公司台州供电公司,103206887
20210417,市级数据,None,国网浙江省电力有限公司台州供电公司,102105562
20210418,市级数据,None,国网浙江省电力有限公司台州供电公司,94460169
20210419,市级数据,None,国网浙江省电力有限公司台州供电公司,100515800
20210420,市级数据,None,国网浙江省电力有限公司台州供电公司,101917204
20210421,市级数据,None,国网浙江省电力有限公司台州供电公司,102420679
20210422,市级数据,None,国网浙江省电力有限公司台州供电公司,104368762
20210423,市级数据,None,国网浙江省电力有限公司台州供电公司,104045977
20210424,市级数据,None,国网浙江省电力有限公司台州供电公司,103309179
20210425,市级数据,None,国网浙江省电力有限公司台州供电公司,98614496
20210426,市级数据,None,国网浙江省电力有限公司台州供电公司,101292253
20210427,市级数据,None,国网浙江省电力有限公司台州供电公司,104361366
20210428,市级数据,None,国网浙江省电力有限公司台州供电公司,104445597
20210429,市级数据,None,国网浙江省电力有限公司台州供电公司,102363551
20210430,市级数据,None,国网浙江省电力有限公司台州供电公司,96033403
20210501,市级数据,None,国网浙江省电力有限公司台州供电公司,59216125
20210502,市级数据,None,国网浙江省电力有限公司台州供电公司,67942866
20210503,市级数据,None,国网浙江省电力有限公司台州供电公司,91202564
20210504,市级数据,None,国网浙江省电力有限公司台州供电公司,99744414
20210505,市级数据,None,国网浙江省电力有限公司台州供电公司,100031928
20210506,市级数据,None,国网浙江省电力有限公司台州供电公司,101152057
20210507,市级数据,None,国网浙江省电力有限公司台州供电公司,103475056
20210508,市级数据,None,国网浙江省电力有限公司台州供电公司,103915893
20210509,市级数据,None,国网浙江省电力有限公司台州供电公司,99265369
20210510,市级数据,None,国网浙江省电力有限公司台州供电公司,111835311
20210511,市级数据,None,国网浙江省电力有限公司台州供电公司,105987438
20210512,市级数据,None,国网浙江省电力有限公司台州供电公司,107033958
20210513,市级数据,None,国网浙江省电力有限公司台州供电公司,107128320
