rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,153086543
20210402,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,150831438
20210403,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,140642758
20210404,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,122958195
20210405,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,135865391
20210406,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,145362945
20210407,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,153071981
20210408,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,154354021
20210409,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,148978973
20210410,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,147963577
20210411,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,148191777
20210412,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,153843572
20210413,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,151436321
20210414,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,154504030
20210415,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,153150979
20210416,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,150182340
20210417,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,147131065
20210418,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,138381471
20210419,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,145229696
20210420,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,149729920
20210421,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,150033964
20210422,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,153133645
20210423,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,154791282
20210424,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,153491335
20210425,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,146969870
20210426,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,148286996
20210427,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,155912165
20210428,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,151573780
20210429,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,146938033
20210430,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,140707826
20210501,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,105062469
20210502,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,108283144
20210503,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,126360957
20210504,市级数据,None,国网浙江省电力有限公司嘉兴供电公司,142399543
