rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司宁波供电公司,230878404
20210402,市级数据,None,国网浙江省电力有限公司宁波供电公司,229011242
20210403,市级数据,None,国网浙江省电力有限公司宁波供电公司,216262963
20210404,市级数据,None,国网浙江省电力有限公司宁波供电公司,162934834
20210405,市级数据,None,国网浙江省电力有限公司宁波供电公司,204681606
20210406,市级数据,None,国网浙江省电力有限公司宁波供电公司,226172088
20210407,市级数据,None,国网浙江省电力有限公司宁波供电公司,232646767
20210408,市级数据,None,国网浙江省电力有限公司宁波供电公司,236134068
20210409,市级数据,None,国网浙江省电力有限公司宁波供电公司,231308697
20210410,市级数据,None,国网浙江省电力有限公司宁波供电公司,229575633
20210411,市级数据,None,国网浙江省电力有限公司宁波供电公司,221642300
20210412,市级数据,None,国网浙江省电力有限公司宁波供电公司,233549351
20210413,市级数据,None,国网浙江省电力有限公司宁波供电公司,234767997
20210414,市级数据,None,国网浙江省电力有限公司宁波供电公司,236780357
20210415,市级数据,None,国网浙江省电力有限公司宁波供电公司,235364538
20210416,市级数据,None,国网浙江省电力有限公司宁波供电公司,228582984
20210417,市级数据,None,国网浙江省电力有限公司宁波供电公司,222303889
20210418,市级数据,None,国网浙江省电力有限公司宁波供电公司,205198099
20210419,市级数据,None,国网浙江省电力有限公司宁波供电公司,223367468
20210420,市级数据,None,国网浙江省电力有限公司宁波供电公司,229443639
20210421,市级数据,None,国网浙江省电力有限公司宁波供电公司,230714038
20210422,市级数据,None,国网浙江省电力有限公司宁波供电公司,233582136
20210423,市级数据,None,国网浙江省电力有限公司宁波供电公司,235544753
20210424,市级数据,None,国网浙江省电力有限公司宁波供电公司,230810994
20210425,市级数据,None,国网浙江省电力有限公司宁波供电公司,222087564
20210426,市级数据,None,国网浙江省电力有限公司宁波供电公司,225961990
20210427,市级数据,None,国网浙江省电力有限公司宁波供电公司,232924203
20210428,市级数据,None,国网浙江省电力有限公司宁波供电公司,231481636
20210429,市级数据,None,国网浙江省电力有限公司宁波供电公司,226809697
