rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司杭州供电公司,210649800
20210402,市级数据,None,国网浙江省电力有限公司杭州供电公司,209285341
20210403,市级数据,None,国网浙江省电力有限公司杭州供电公司,196383771
20210404,市级数据,None,国网浙江省电力有限公司杭州供电公司,177732862
20210405,市级数据,None,国网浙江省电力有限公司杭州供电公司,194140722
20210406,市级数据,None,国网浙江省电力有限公司杭州供电公司,204864235
20210407,市级数据,None,国网浙江省电力有限公司杭州供电公司,212710733
20210408,市级数据,None,国网浙江省电力有限公司杭州供电公司,216346930
20210409,市级数据,None,国网浙江省电力有限公司杭州供电公司,210995302
20210410,市级数据,None,国网浙江省电力有限公司杭州供电公司,207502908
20210411,市级数据,None,国网浙江省电力有限公司杭州供电公司,204630698
20210412,市级数据,None,国网浙江省电力有限公司杭州供电公司,212615608
20210413,市级数据,None,国网浙江省电力有限公司杭州供电公司,212289159
20210414,市级数据,None,国网浙江省电力有限公司杭州供电公司,216857096
20210415,市级数据,None,国网浙江省电力有限公司杭州供电公司,213383959
20210416,市级数据,None,国网浙江省电力有限公司杭州供电公司,211382372
20210417,市级数据,None,国网浙江省电力有限公司杭州供电公司,205276051
20210418,市级数据,None,国网浙江省电力有限公司杭州供电公司,196435093
20210419,市级数据,None,国网浙江省电力有限公司杭州供电公司,204345105
20210420,市级数据,None,国网浙江省电力有限公司杭州供电公司,207876863
20210421,市级数据,None,国网浙江省电力有限公司杭州供电公司,209235181
20210422,市级数据,None,国网浙江省电力有限公司杭州供电公司,210813241
20210423,市级数据,None,国网浙江省电力有限公司杭州供电公司,212390424
20210424,市级数据,None,国网浙江省电力有限公司杭州供电公司,207902717
20210425,市级数据,None,国网浙江省电力有限公司杭州供电公司,205334542
20210426,市级数据,None,国网浙江省电力有限公司杭州供电公司,208404677
20210427,市级数据,None,国网浙江省电力有限公司杭州供电公司,211887688
20210428,市级数据,None,国网浙江省电力有限公司杭州供电公司,210930264
20210429,市级数据,None,国网浙江省电力有限公司杭州供电公司,208397645
20210430,市级数据,None,国网浙江省电力有限公司杭州供电公司,205421721
20210501,市级数据,None,国网浙江省电力有限公司杭州供电公司,167809923
20210502,市级数据,None,国网浙江省电力有限公司杭州供电公司,167490038
20210503,市级数据,None,国网浙江省电力有限公司杭州供电公司,184621410
20210504,市级数据,None,国网浙江省电力有限公司杭州供电公司,197172231
20210505,市级数据,None,国网浙江省电力有限公司杭州供电公司,198890745
20210506,市级数据,None,国网浙江省电力有限公司杭州供电公司,208095764
20210507,市级数据,None,国网浙江省电力有限公司杭州供电公司,217616977
20210508,市级数据,None,国网浙江省电力有限公司杭州供电公司,223160249
20210509,市级数据,None,国网浙江省电力有限公司杭州供电公司,220493624
20210510,市级数据,None,国网浙江省电力有限公司杭州供电公司,244737181
20210511,市级数据,None,国网浙江省电力有限公司杭州供电公司,233781692
20210512,市级数据,None,国网浙江省电力有限公司杭州供电公司,231920530
20210513,市级数据,None,国网浙江省电力有限公司杭州供电公司,225986369
20210514,市级数据,None,国网浙江省电力有限公司杭州供电公司,240897401
20210515,市级数据,None,国网浙江省电力有限公司杭州供电公司,248667636
20210516,市级数据,None,国网浙江省电力有限公司杭州供电公司,223433704
20210517,市级数据,None,国网浙江省电力有限公司杭州供电公司,210317333
20210518,市级数据,None,国网浙江省电力有限公司杭州供电公司,213601758
20210519,市级数据,None,国网浙江省电力有限公司杭州供电公司,213693467
20210520,市级数据,None,国网浙江省电力有限公司杭州供电公司,213681166
20210521,市级数据,None,国网浙江省电力有限公司杭州供电公司,215121596
20210522,市级数据,None,国网浙江省电力有限公司杭州供电公司,209768259
20210523,市级数据,None,国网浙江省电力有限公司杭州供电公司,200119646
20210524,市级数据,None,国网浙江省电力有限公司杭州供电公司,212749879
20210525,市级数据,None,国网浙江省电力有限公司杭州供电公司,224957197
20210526,市级数据,None,国网浙江省电力有限公司杭州供电公司,222592054
20210527,市级数据,None,国网浙江省电力有限公司杭州供电公司,225884105
20210528,市级数据,None,国网浙江省电力有限公司杭州供电公司,229784447
20210529,市级数据,None,国网浙江省电力有限公司杭州供电公司,225920085
20210530,市级数据,None,国网浙江省电力有限公司杭州供电公司,222365824
20210531,市级数据,None,国网浙江省电力有限公司杭州供电公司,236389035
20210601,市级数据,None,国网浙江省电力有限公司杭州供电公司,231072289
20210602,市级数据,None,国网浙江省电力有限公司杭州供电公司,233681179
20210603,市级数据,None,国网浙江省电力有限公司杭州供电公司,236205484
20210604,市级数据,None,国网浙江省电力有限公司杭州供电公司,217737969
20210605,市级数据,None,国网浙江省电力有限公司杭州供电公司,219480011
20210606,市级数据,None,国网浙江省电力有限公司杭州供电公司,218881057
20210607,市级数据,None,国网浙江省电力有限公司杭州供电公司,238133309
20210608,市级数据,None,国网浙江省电力有限公司杭州供电公司,251788135
20210609,市级数据,None,国网浙江省电力有限公司杭州供电公司,263407294
20210610,市级数据,None,国网浙江省电力有限公司杭州供电公司,257117077
20210611,市级数据,None,国网浙江省电力有限公司杭州供电公司,264801757
