rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司温州供电公司,154566125
20210402,市级数据,None,国网浙江省电力有限公司温州供电公司,163992759
20210403,市级数据,None,国网浙江省电力有限公司温州供电公司,158097961
20210404,市级数据,None,国网浙江省电力有限公司温州供电公司,121024683
20210405,市级数据,None,国网浙江省电力有限公司温州供电公司,151818810
20210406,市级数据,None,国网浙江省电力有限公司温州供电公司,164699766
20210407,市级数据,None,国网浙江省电力有限公司温州供电公司,167091803
20210408,市级数据,None,国网浙江省电力有限公司温州供电公司,134175303
20210409,市级数据,None,国网浙江省电力有限公司温州供电公司,133553517
20210410,市级数据,None,国网浙江省电力有限公司温州供电公司,150726137
20210411,市级数据,None,国网浙江省电力有限公司温州供电公司,131057578
20210412,市级数据,None,国网浙江省电力有限公司温州供电公司,133128229
20210413,市级数据,None,国网浙江省电力有限公司温州供电公司,133743775
20210414,市级数据,None,国网浙江省电力有限公司温州供电公司,134215303
20210415,市级数据,None,国网浙江省电力有限公司温州供电公司,133957892
20210416,市级数据,None,国网浙江省电力有限公司温州供电公司,129080246
20210417,市级数据,None,国网浙江省电力有限公司温州供电公司,129429105
20210418,市级数据,None,国网浙江省电力有限公司温州供电公司,122645773
20210419,市级数据,None,国网浙江省电力有限公司温州供电公司,164890946
20210420,市级数据,None,国网浙江省电力有限公司温州供电公司,166594241
20210421,市级数据,None,国网浙江省电力有限公司温州供电公司,166014837
20210422,市级数据,None,国网浙江省电力有限公司温州供电公司,162799434
20210423,市级数据,None,国网浙江省电力有限公司温州供电公司,166793206
20210424,市级数据,None,国网浙江省电力有限公司温州供电公司,164205725
20210425,市级数据,None,国网浙江省电力有限公司温州供电公司,158344481
20210426,市级数据,None,国网浙江省电力有限公司温州供电公司,161651529
20210427,市级数据,None,国网浙江省电力有限公司温州供电公司,163712557
20210428,市级数据,None,国网浙江省电力有限公司温州供电公司,164321018
20210429,市级数据,None,国网浙江省电力有限公司温州供电公司,160567916
20210430,市级数据,None,国网浙江省电力有限公司温州供电公司,145028431
20210501,市级数据,None,国网浙江省电力有限公司温州供电公司,86933128
20210502,市级数据,None,国网浙江省电力有限公司温州供电公司,98402170
20210503,市级数据,None,国网浙江省电力有限公司温州供电公司,132918294
20210504,市级数据,None,国网浙江省电力有限公司温州供电公司,149026454
20210505,市级数据,None,国网浙江省电力有限公司温州供电公司,149914360
20210506,市级数据,None,国网浙江省电力有限公司温州供电公司,150961540
20210507,市级数据,None,国网浙江省电力有限公司温州供电公司,151250080
20210508,市级数据,None,国网浙江省电力有限公司温州供电公司,132076340
20210509,市级数据,None,国网浙江省电力有限公司温州供电公司,147954294
20210510,市级数据,None,国网浙江省电力有限公司温州供电公司,157040523
20210511,市级数据,None,国网浙江省电力有限公司温州供电公司,159886385
20210512,市级数据,None,国网浙江省电力有限公司温州供电公司,160294127
20210513,市级数据,None,国网浙江省电力有限公司温州供电公司,163474741
20210514,市级数据,None,国网浙江省电力有限公司温州供电公司,145421954
20210515,市级数据,None,国网浙江省电力有限公司温州供电公司,168686996
20210516,市级数据,None,国网浙江省电力有限公司温州供电公司,166526796
20210517,市级数据,None,国网浙江省电力有限公司温州供电公司,138882258
20210518,市级数据,None,国网浙江省电力有限公司温州供电公司,166320614
20210519,市级数据,None,国网浙江省电力有限公司温州供电公司,162313068
20210520,市级数据,None,国网浙江省电力有限公司温州供电公司,166691471
20210521,市级数据,None,国网浙江省电力有限公司温州供电公司,166290763
20210522,市级数据,None,国网浙江省电力有限公司温州供电公司,162088434
20210523,市级数据,None,国网浙江省电力有限公司温州供电公司,154059778
20210524,市级数据,None,国网浙江省电力有限公司温州供电公司,160049907
20210525,市级数据,None,国网浙江省电力有限公司温州供电公司,158092334
20210526,市级数据,None,国网浙江省电力有限公司温州供电公司,164782206
20210527,市级数据,None,国网浙江省电力有限公司温州供电公司,167246149
20210528,市级数据,None,国网浙江省电力有限公司温州供电公司,167530606
20210529,市级数据,None,国网浙江省电力有限公司温州供电公司,163564460
20210530,市级数据,None,国网浙江省电力有限公司温州供电公司,152014316
20210531,市级数据,None,国网浙江省电力有限公司温州供电公司,157023293
20210601,市级数据,None,国网浙江省电力有限公司温州供电公司,134014711
20210602,市级数据,None,国网浙江省电力有限公司温州供电公司,162539717
20210603,市级数据,None,国网浙江省电力有限公司温州供电公司,179796857
20210604,市级数据,None,国网浙江省电力有限公司温州供电公司,160213631
20210605,市级数据,None,国网浙江省电力有限公司温州供电公司,154120346
20210606,市级数据,None,国网浙江省电力有限公司温州供电公司,148645979
20210607,市级数据,None,国网浙江省电力有限公司温州供电公司,160065111
20210608,市级数据,None,国网浙江省电力有限公司温州供电公司,166525079
20210609,市级数据,None,国网浙江省电力有限公司温州供电公司,178634410
20210610,市级数据,None,国网浙江省电力有限公司温州供电公司,187280918
20210611,市级数据,None,国网浙江省电力有限公司温州供电公司,187443777
20210612,市级数据,None,国网浙江省电力有限公司温州供电公司,187293519
20210613,市级数据,None,国网浙江省电力有限公司温州供电公司,174455812
20210614,市级数据,None,国网浙江省电力有限公司温州供电公司,137881284
20210615,市级数据,None,国网浙江省电力有限公司温州供电公司,192894520
20210616,市级数据,None,国网浙江省电力有限公司温州供电公司,211863925
20210617,市级数据,None,国网浙江省电力有限公司温州供电公司,212163130
20210618,市级数据,None,国网浙江省电力有限公司温州供电公司,214425435
20210619,市级数据,None,国网浙江省电力有限公司温州供电公司,196532798
20210620,市级数据,None,国网浙江省电力有限公司温州供电公司,169681399
20210621,市级数据,None,国网浙江省电力有限公司温州供电公司,161934285
20210622,市级数据,None,国网浙江省电力有限公司温州供电公司,162518725
20210623,市级数据,None,国网浙江省电力有限公司温州供电公司,170174690
20210624,市级数据,None,国网浙江省电力有限公司温州供电公司,177547014
20210625,市级数据,None,国网浙江省电力有限公司温州供电公司,186652288
20210626,市级数据,None,国网浙江省电力有限公司温州供电公司,193096086
20210627,市级数据,None,国网浙江省电力有限公司温州供电公司,188373431
20210628,市级数据,None,国网浙江省电力有限公司温州供电公司,195440809
20210629,市级数据,None,国网浙江省电力有限公司温州供电公司,184840581
20210630,市级数据,None,国网浙江省电力有限公司温州供电公司,169897953
20210701,市级数据,None,国网浙江省电力有限公司温州供电公司,156374175
20210702,市级数据,None,国网浙江省电力有限公司温州供电公司,190301481
20210703,市级数据,None,国网浙江省电力有限公司温州供电公司,199916902
20210704,市级数据,None,国网浙江省电力有限公司温州供电公司,194901726
20210705,市级数据,None,国网浙江省电力有限公司温州供电公司,207592140
20210706,市级数据,None,国网浙江省电力有限公司温州供电公司,211139129
20210707,市级数据,None,国网浙江省电力有限公司温州供电公司,220170315
20210708,市级数据,None,国网浙江省电力有限公司温州供电公司,227399283
20210709,市级数据,None,国网浙江省电力有限公司温州供电公司,227321596
20210710,市级数据,None,国网浙江省电力有限公司温州供电公司,221488976
20210711,市级数据,None,国网浙江省电力有限公司温州供电公司,209166917
20210712,市级数据,None,国网浙江省电力有限公司温州供电公司,223353155
20210713,市级数据,None,国网浙江省电力有限公司温州供电公司,224748294
20210714,市级数据,None,国网浙江省电力有限公司温州供电公司,224808449
20210715,市级数据,None,国网浙江省电力有限公司温州供电公司,222788415
20210716,市级数据,None,国网浙江省电力有限公司温州供电公司,223088190
20210717,市级数据,None,国网浙江省电力有限公司温州供电公司,221520683
20210718,市级数据,None,国网浙江省电力有限公司温州供电公司,202652934
20210719,市级数据,None,国网浙江省电力有限公司温州供电公司,206564736
20210720,市级数据,None,国网浙江省电力有限公司温州供电公司,207581836
20210721,市级数据,None,国网浙江省电力有限公司温州供电公司,205707900
20210722,市级数据,None,国网浙江省电力有限公司温州供电公司,197333155
20210723,市级数据,None,国网浙江省电力有限公司温州供电公司,188165304
20210724,市级数据,None,国网浙江省电力有限公司温州供电公司,193390314
20210725,市级数据,None,国网浙江省电力有限公司温州供电公司,157488362
20210726,市级数据,None,国网浙江省电力有限公司温州供电公司,185233028
20210727,市级数据,None,国网浙江省电力有限公司温州供电公司,197603754
20210728,市级数据,None,国网浙江省电力有限公司温州供电公司,197430120
20210729,市级数据,None,国网浙江省电力有限公司温州供电公司,203766648
20210730,市级数据,None,国网浙江省电力有限公司温州供电公司,202252308
20210731,市级数据,None,国网浙江省电力有限公司温州供电公司,207316319
20210801,市级数据,None,国网浙江省电力有限公司温州供电公司,169057091
20210802,市级数据,None,国网浙江省电力有限公司温州供电公司,205527885
20210803,市级数据,None,国网浙江省电力有限公司温州供电公司,204241225
20210804,市级数据,None,国网浙江省电力有限公司温州供电公司,198411313
20210805,市级数据,None,国网浙江省电力有限公司温州供电公司,194005678
20210806,市级数据,None,国网浙江省电力有限公司温州供电公司,192094043
20210807,市级数据,None,国网浙江省电力有限公司温州供电公司,192681022
20210808,市级数据,None,国网浙江省电力有限公司温州供电公司,191278983
20210809,市级数据,None,国网浙江省电力有限公司温州供电公司,211968678
20210810,市级数据,None,国网浙江省电力有限公司温州供电公司,210400006
20210811,市级数据,None,国网浙江省电力有限公司温州供电公司,209036538
20210812,市级数据,None,国网浙江省电力有限公司温州供电公司,207934288
20210813,市级数据,None,国网浙江省电力有限公司温州供电公司,203459830
20210814,市级数据,None,国网浙江省电力有限公司温州供电公司,196061625
20210815,市级数据,None,国网浙江省电力有限公司温州供电公司,185372929
20210816,市级数据,None,国网浙江省电力有限公司温州供电公司,195229863
20210817,市级数据,None,国网浙江省电力有限公司温州供电公司,188399930
20210818,市级数据,None,国网浙江省电力有限公司温州供电公司,189982313
20210819,市级数据,None,国网浙江省电力有限公司温州供电公司,192867471
20210820,市级数据,None,国网浙江省电力有限公司温州供电公司,202072560
20210821,市级数据,None,国网浙江省电力有限公司温州供电公司,200268536
20210822,市级数据,None,国网浙江省电力有限公司温州供电公司,189782457
20210823,市级数据,None,国网浙江省电力有限公司温州供电公司,206641616
20210824,市级数据,None,国网浙江省电力有限公司温州供电公司,213323599
20210825,市级数据,None,国网浙江省电力有限公司温州供电公司,215461501
20210826,市级数据,None,国网浙江省电力有限公司温州供电公司,214511978
20210827,市级数据,None,国网浙江省电力有限公司温州供电公司,213650443
20210828,市级数据,None,国网浙江省电力有限公司温州供电公司,207647301
20210829,市级数据,None,国网浙江省电力有限公司温州供电公司,201792590
20210830,市级数据,None,国网浙江省电力有限公司温州供电公司,207611444
20210831,市级数据,None,国网浙江省电力有限公司温州供电公司,206842631
20210901,市级数据,None,国网浙江省电力有限公司温州供电公司,189214800
20210902,市级数据,None,国网浙江省电力有限公司温州供电公司,213321842
20210903,市级数据,None,国网浙江省电力有限公司温州供电公司,215510279
20210904,市级数据,None,国网浙江省电力有限公司温州供电公司,213557776
20210905,市级数据,None,国网浙江省电力有限公司温州供电公司,207284719
20210906,市级数据,None,国网浙江省电力有限公司温州供电公司,220242909
20210907,市级数据,None,国网浙江省电力有限公司温州供电公司,217669821
20210908,市级数据,None,国网浙江省电力有限公司温州供电公司,201886266
20210909,市级数据,None,国网浙江省电力有限公司温州供电公司,207229787
20210910,市级数据,None,国网浙江省电力有限公司温州供电公司,208767528
20210911,市级数据,None,国网浙江省电力有限公司温州供电公司,207479297
20210912,市级数据,None,国网浙江省电力有限公司温州供电公司,174075959
20210913,市级数据,None,国网浙江省电力有限公司温州供电公司,176381888
20210914,市级数据,None,国网浙江省电力有限公司温州供电公司,189167329
20210915,市级数据,None,国网浙江省电力有限公司温州供电公司,190592921
20210916,市级数据,None,国网浙江省电力有限公司温州供电公司,196283214
20210917,市级数据,None,国网浙江省电力有限公司温州供电公司,198520870
20210918,市级数据,None,国网浙江省电力有限公司温州供电公司,191392578
20210919,市级数据,None,国网浙江省电力有限公司温州供电公司,190954031
20210920,市级数据,None,国网浙江省电力有限公司温州供电公司,187047711
20210921,市级数据,None,国网浙江省电力有限公司温州供电公司,133507527
20210922,市级数据,None,国网浙江省电力有限公司温州供电公司,187154815
20210923,市级数据,None,国网浙江省电力有限公司温州供电公司,196876784
20210924,市级数据,None,国网浙江省电力有限公司温州供电公司,191030245
20210925,市级数据,None,国网浙江省电力有限公司温州供电公司,183231079
20210926,市级数据,None,国网浙江省电力有限公司温州供电公司,180431179
20210927,市级数据,None,国网浙江省电力有限公司温州供电公司,183912987
20210928,市级数据,None,国网浙江省电力有限公司温州供电公司,184951845
20210929,市级数据,None,国网浙江省电力有限公司温州供电公司,179587484
20210930,市级数据,None,国网浙江省电力有限公司温州供电公司,150569721
20211001,市级数据,None,国网浙江省电力有限公司温州供电公司,116333544
20211002,市级数据,None,国网浙江省电力有限公司温州供电公司,130526720
20211003,市级数据,None,国网浙江省电力有限公司温州供电公司,140037792
20211004,市级数据,None,国网浙江省电力有限公司温州供电公司,153123063
20211005,市级数据,None,国网浙江省电力有限公司温州供电公司,158511069
20211006,市级数据,None,国网浙江省电力有限公司温州供电公司,161409614
20211007,市级数据,None,国网浙江省电力有限公司温州供电公司,150736042
20211008,市级数据,None,国网浙江省电力有限公司温州供电公司,152133772
20211009,市级数据,None,国网浙江省电力有限公司温州供电公司,157625016
20211010,市级数据,None,国网浙江省电力有限公司温州供电公司,148633173
20211011,市级数据,None,国网浙江省电力有限公司温州供电公司,150714091
20211012,市级数据,None,国网浙江省电力有限公司温州供电公司,139852488
20211013,市级数据,None,国网浙江省电力有限公司温州供电公司,140411610
20211014,市级数据,None,国网浙江省电力有限公司温州供电公司,143434234
20211015,市级数据,None,国网浙江省电力有限公司温州供电公司,146575469
20211016,市级数据,None,国网浙江省电力有限公司温州供电公司,131819470
20211017,市级数据,None,国网浙江省电力有限公司温州供电公司,108618572
20211018,市级数据,None,国网浙江省电力有限公司温州供电公司,113623999
20211019,市级数据,None,国网浙江省电力有限公司温州供电公司,115154184
20211020,市级数据,None,国网浙江省电力有限公司温州供电公司,115355244
20211021,市级数据,None,国网浙江省电力有限公司温州供电公司,116687311
20211022,市级数据,None,国网浙江省电力有限公司温州供电公司,116401556
20211023,市级数据,None,国网浙江省电力有限公司温州供电公司,116901985
20211024,市级数据,None,国网浙江省电力有限公司温州供电公司,115214008
20211025,市级数据,None,国网浙江省电力有限公司温州供电公司,132213530
20211026,市级数据,None,国网浙江省电力有限公司温州供电公司,136879515
20211027,市级数据,None,国网浙江省电力有限公司温州供电公司,142986547
20211028,市级数据,None,国网浙江省电力有限公司温州供电公司,150351237
20211029,市级数据,None,国网浙江省电力有限公司温州供电公司,152235873
20211030,市级数据,None,国网浙江省电力有限公司温州供电公司,148766241
20211031,市级数据,None,国网浙江省电力有限公司温州供电公司,144503846
20211101,市级数据,None,国网浙江省电力有限公司温州供电公司,141371491
20211102,市级数据,None,国网浙江省电力有限公司温州供电公司,148871270
20211103,市级数据,None,国网浙江省电力有限公司温州供电公司,120555258
20211104,市级数据,None,国网浙江省电力有限公司温州供电公司,121635063
20211105,市级数据,None,国网浙江省电力有限公司温州供电公司,121613839
