rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司湖州供电公司,90202744
20210402,市级数据,None,国网浙江省电力有限公司湖州供电公司,90128434
20210403,市级数据,None,国网浙江省电力有限公司湖州供电公司,86223529
20210404,市级数据,None,国网浙江省电力有限公司湖州供电公司,72983102
20210405,市级数据,None,国网浙江省电力有限公司湖州供电公司,82681772
20210406,市级数据,None,国网浙江省电力有限公司湖州供电公司,88137624
20210407,市级数据,None,国网浙江省电力有限公司湖州供电公司,91340573
20210408,市级数据,None,国网浙江省电力有限公司湖州供电公司,90885362
20210409,市级数据,None,国网浙江省电力有限公司湖州供电公司,89475800
20210410,市级数据,None,国网浙江省电力有限公司湖州供电公司,88888035
20210411,市级数据,None,国网浙江省电力有限公司湖州供电公司,89150241
20210412,市级数据,None,国网浙江省电力有限公司湖州供电公司,90351774
20210413,市级数据,None,国网浙江省电力有限公司湖州供电公司,88792624
20210414,市级数据,None,国网浙江省电力有限公司湖州供电公司,90139112
20210415,市级数据,None,国网浙江省电力有限公司湖州供电公司,89189018
20210416,市级数据,None,国网浙江省电力有限公司湖州供电公司,88559463
20210417,市级数据,None,国网浙江省电力有限公司湖州供电公司,87349072
20210418,市级数据,None,国网浙江省电力有限公司湖州供电公司,83999048
20210419,市级数据,None,国网浙江省电力有限公司湖州供电公司,87335926
20210420,市级数据,None,国网浙江省电力有限公司湖州供电公司,89325151
20210421,市级数据,None,国网浙江省电力有限公司湖州供电公司,89398325
20210422,市级数据,None,国网浙江省电力有限公司湖州供电公司,90504707
20210423,市级数据,None,国网浙江省电力有限公司湖州供电公司,91165315
20210424,市级数据,None,国网浙江省电力有限公司湖州供电公司,89058673
20210425,市级数据,None,国网浙江省电力有限公司湖州供电公司,88559242
20210426,市级数据,None,国网浙江省电力有限公司湖州供电公司,88360799
20210427,市级数据,None,国网浙江省电力有限公司湖州供电公司,90911251
20210428,市级数据,None,国网浙江省电力有限公司湖州供电公司,89497315
20210429,市级数据,None,国网浙江省电力有限公司湖州供电公司,87713307
20210430,市级数据,None,国网浙江省电力有限公司湖州供电公司,84137292
20210501,市级数据,None,国网浙江省电力有限公司湖州供电公司,62965603
20210502,市级数据,None,国网浙江省电力有限公司湖州供电公司,66262071
20210503,市级数据,None,国网浙江省电力有限公司湖州供电公司,76819394
20210504,市级数据,None,国网浙江省电力有限公司湖州供电公司,85107351
20210505,市级数据,None,国网浙江省电力有限公司湖州供电公司,85434296
20210506,市级数据,None,国网浙江省电力有限公司湖州供电公司,87894712
20210507,市级数据,None,国网浙江省电力有限公司湖州供电公司,88267317
20210508,市级数据,None,国网浙江省电力有限公司湖州供电公司,89520044
20210509,市级数据,None,国网浙江省电力有限公司湖州供电公司,87300375
20210510,市级数据,None,国网浙江省电力有限公司湖州供电公司,93100556
20210511,市级数据,None,国网浙江省电力有限公司湖州供电公司,93997304
20210512,市级数据,None,国网浙江省电力有限公司湖州供电公司,93113549
20210513,市级数据,None,国网浙江省电力有限公司湖州供电公司,91753994
20210514,市级数据,None,国网浙江省电力有限公司湖州供电公司,92791322
20210515,市级数据,None,国网浙江省电力有限公司湖州供电公司,94452203
20210516,市级数据,None,国网浙江省电力有限公司湖州供电公司,86809968
20210517,市级数据,None,国网浙江省电力有限公司湖州供电公司,85939391
20210518,市级数据,None,国网浙江省电力有限公司湖州供电公司,88896843
20210519,市级数据,None,国网浙江省电力有限公司湖州供电公司,89346679
20210520,市级数据,None,国网浙江省电力有限公司湖州供电公司,88443232
20210521,市级数据,None,国网浙江省电力有限公司湖州供电公司,88004978
20210522,市级数据,None,国网浙江省电力有限公司湖州供电公司,87280436
20210523,市级数据,None,国网浙江省电力有限公司湖州供电公司,84609197
20210524,市级数据,None,国网浙江省电力有限公司湖州供电公司,86274383
20210525,市级数据,None,国网浙江省电力有限公司湖州供电公司,89314555
