rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司绍兴供电公司,134338497
20210402,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135656410
20210403,市级数据,None,国网浙江省电力有限公司绍兴供电公司,134297836
20210404,市级数据,None,国网浙江省电力有限公司绍兴供电公司,122163215
20210405,市级数据,None,国网浙江省电力有限公司绍兴供电公司,129975872
20210406,市级数据,None,国网浙江省电力有限公司绍兴供电公司,133484865
20210407,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137118947
20210408,市级数据,None,国网浙江省电力有限公司绍兴供电公司,138730798
20210409,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135868036
20210410,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135088830
20210411,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135259288
20210412,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137906794
20210413,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137774687
20210414,市级数据,None,国网浙江省电力有限公司绍兴供电公司,140136117
20210415,市级数据,None,国网浙江省电力有限公司绍兴供电公司,138035007
20210416,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137231275
20210417,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135358683
20210418,市级数据,None,国网浙江省电力有限公司绍兴供电公司,131102941
20210419,市级数据,None,国网浙江省电力有限公司绍兴供电公司,133743439
20210420,市级数据,None,国网浙江省电力有限公司绍兴供电公司,134403078
20210421,市级数据,None,国网浙江省电力有限公司绍兴供电公司,134825234
20210422,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135628181
20210423,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137371533
20210424,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137651954
20210425,市级数据,None,国网浙江省电力有限公司绍兴供电公司,134483233
20210426,市级数据,None,国网浙江省电力有限公司绍兴供电公司,133754684
20210427,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137237388
20210428,市级数据,None,国网浙江省电力有限公司绍兴供电公司,136578249
20210429,市级数据,None,国网浙江省电力有限公司绍兴供电公司,133387090
20210430,市级数据,None,国网浙江省电力有限公司绍兴供电公司,130693960
20210501,市级数据,None,国网浙江省电力有限公司绍兴供电公司,102448024
20210502,市级数据,None,国网浙江省电力有限公司绍兴供电公司,106838867
20210503,市级数据,None,国网浙江省电力有限公司绍兴供电公司,122378698
20210504,市级数据,None,国网浙江省电力有限公司绍兴供电公司,132570113
20210505,市级数据,None,国网浙江省电力有限公司绍兴供电公司,132181159
20210506,市级数据,None,国网浙江省电力有限公司绍兴供电公司,134334018
20210507,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135333469
20210508,市级数据,None,国网浙江省电力有限公司绍兴供电公司,138098584
20210509,市级数据,None,国网浙江省电力有限公司绍兴供电公司,136396548
20210510,市级数据,None,国网浙江省电力有限公司绍兴供电公司,149718207
20210511,市级数据,None,国网浙江省电力有限公司绍兴供电公司,140545111
20210512,市级数据,None,国网浙江省电力有限公司绍兴供电公司,141428418
20210513,市级数据,None,国网浙江省电力有限公司绍兴供电公司,141115968
20210514,市级数据,None,国网浙江省电力有限公司绍兴供电公司,143985824
20210515,市级数据,None,国网浙江省电力有限公司绍兴供电公司,145478647
20210516,市级数据,None,国网浙江省电力有限公司绍兴供电公司,140699082
20210517,市级数据,None,国网浙江省电力有限公司绍兴供电公司,136332798
20210518,市级数据,None,国网浙江省电力有限公司绍兴供电公司,136513162
20210519,市级数据,None,国网浙江省电力有限公司绍兴供电公司,136843233
20210520,市级数据,None,国网浙江省电力有限公司绍兴供电公司,136660815
20210521,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135568349
20210522,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135365735
20210523,市级数据,None,国网浙江省电力有限公司绍兴供电公司,133414730
20210524,市级数据,None,国网浙江省电力有限公司绍兴供电公司,134703302
20210525,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137221475
20210526,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137983788
20210527,市级数据,None,国网浙江省电力有限公司绍兴供电公司,138598614
20210528,市级数据,None,国网浙江省电力有限公司绍兴供电公司,140944550
20210529,市级数据,None,国网浙江省电力有限公司绍兴供电公司,138640989
20210530,市级数据,None,国网浙江省电力有限公司绍兴供电公司,134830270
20210531,市级数据,None,国网浙江省电力有限公司绍兴供电公司,138296903
20210601,市级数据,None,国网浙江省电力有限公司绍兴供电公司,137586631
20210602,市级数据,None,国网浙江省电力有限公司绍兴供电公司,140408930
20210603,市级数据,None,国网浙江省电力有限公司绍兴供电公司,142972936
20210604,市级数据,None,国网浙江省电力有限公司绍兴供电公司,136863241
20210605,市级数据,None,国网浙江省电力有限公司绍兴供电公司,135181353
20210606,市级数据,None,国网浙江省电力有限公司绍兴供电公司,133498081
20210607,市级数据,None,国网浙江省电力有限公司绍兴供电公司,139681503
20210608,市级数据,None,国网浙江省电力有限公司绍兴供电公司,144990409
20210609,市级数据,None,国网浙江省电力有限公司绍兴供电公司,149945620
20210610,市级数据,None,国网浙江省电力有限公司绍兴供电公司,147109990
20210611,市级数据,None,国网浙江省电力有限公司绍兴供电公司,149505283
20210612,市级数据,None,国网浙江省电力有限公司绍兴供电公司,148916153
20210613,市级数据,None,国网浙江省电力有限公司绍兴供电公司,139390280
20210614,市级数据,None,国网浙江省电力有限公司绍兴供电公司,121573577
20210615,市级数据,None,国网浙江省电力有限公司绍兴供电公司,144390509
20210616,市级数据,None,国网浙江省电力有限公司绍兴供电公司,153105300
20210617,市级数据,None,国网浙江省电力有限公司绍兴供电公司,155465901
20210618,市级数据,None,国网浙江省电力有限公司绍兴供电公司,153572800
20210619,市级数据,None,国网浙江省电力有限公司绍兴供电公司,142410939
20210620,市级数据,None,国网浙江省电力有限公司绍兴供电公司,136364423
20210621,市级数据,None,国网浙江省电力有限公司绍兴供电公司,138851024
20210622,市级数据,None,国网浙江省电力有限公司绍兴供电公司,141233532
20210623,市级数据,None,国网浙江省电力有限公司绍兴供电公司,142725451
20210624,市级数据,None,国网浙江省电力有限公司绍兴供电公司,145520691
20210625,市级数据,None,国网浙江省电力有限公司绍兴供电公司,148776707
20210626,市级数据,None,国网浙江省电力有限公司绍兴供电公司,150312178
20210627,市级数据,None,国网浙江省电力有限公司绍兴供电公司,145359723
20210628,市级数据,None,国网浙江省电力有限公司绍兴供电公司,149056497
20210629,市级数据,None,国网浙江省电力有限公司绍兴供电公司,149136574
20210630,市级数据,None,国网浙江省电力有限公司绍兴供电公司,147471120
20210701,市级数据,None,国网浙江省电力有限公司绍兴供电公司,145343835
20210702,市级数据,None,国网浙江省电力有限公司绍兴供电公司,147638510
20210703,市级数据,None,国网浙江省电力有限公司绍兴供电公司,151377183
20210704,市级数据,None,国网浙江省电力有限公司绍兴供电公司,151035850
20210705,市级数据,None,国网浙江省电力有限公司绍兴供电公司,161480714
20210706,市级数据,None,国网浙江省电力有限公司绍兴供电公司,164366333
20210707,市级数据,None,国网浙江省电力有限公司绍兴供电公司,168789427
20210708,市级数据,None,国网浙江省电力有限公司绍兴供电公司,167018719
20210709,市级数据,None,国网浙江省电力有限公司绍兴供电公司,161356592
20210710,市级数据,None,国网浙江省电力有限公司绍兴供电公司,159370804
20210711,市级数据,None,国网浙江省电力有限公司绍兴供电公司,161154081
20210712,市级数据,None,国网浙江省电力有限公司绍兴供电公司,171584018
20210713,市级数据,None,国网浙江省电力有限公司绍兴供电公司,176337739
20210714,市级数据,None,国网浙江省电力有限公司绍兴供电公司,176161564
20210715,市级数据,None,国网浙江省电力有限公司绍兴供电公司,174633308
20210716,市级数据,None,国网浙江省电力有限公司绍兴供电公司,173591380
20210717,市级数据,None,国网浙江省电力有限公司绍兴供电公司,168621989
20210718,市级数据,None,国网浙江省电力有限公司绍兴供电公司,159649537
20210719,市级数据,None,国网浙江省电力有限公司绍兴供电公司,166068383
20210720,市级数据,None,国网浙江省电力有限公司绍兴供电公司,168440310
20210721,市级数据,None,国网浙江省电力有限公司绍兴供电公司,164488039
20210722,市级数据,None,国网浙江省电力有限公司绍兴供电公司,161855360
20210723,市级数据,None,国网浙江省电力有限公司绍兴供电公司,154927840
20210724,市级数据,None,国网浙江省电力有限公司绍兴供电公司,141869674
20210725,市级数据,None,国网浙江省电力有限公司绍兴供电公司,111538701
20210726,市级数据,None,国网浙江省电力有限公司绍兴供电公司,115885192
20210727,市级数据,None,国网浙江省电力有限公司绍兴供电公司,133671096
20210728,市级数据,None,国网浙江省电力有限公司绍兴供电公司,146476627
20210729,市级数据,None,国网浙江省电力有限公司绍兴供电公司,156561032
20210730,市级数据,None,国网浙江省电力有限公司绍兴供电公司,158511320
20210731,市级数据,None,国网浙江省电力有限公司绍兴供电公司,155877347
20210801,市级数据,None,国网浙江省电力有限公司绍兴供电公司,150329672
20210802,市级数据,None,国网浙江省电力有限公司绍兴供电公司,158389575
20210803,市级数据,None,国网浙江省电力有限公司绍兴供电公司,160156820
20210804,市级数据,None,国网浙江省电力有限公司绍兴供电公司,159395105
20210805,市级数据,None,国网浙江省电力有限公司绍兴供电公司,159154954
20210806,市级数据,None,国网浙江省电力有限公司绍兴供电公司,161410002
20210807,市级数据,None,国网浙江省电力有限公司绍兴供电公司,158017393
20210808,市级数据,None,国网浙江省电力有限公司绍兴供电公司,152679372
20210809,市级数据,None,国网浙江省电力有限公司绍兴供电公司,161588669
20210810,市级数据,None,国网浙江省电力有限公司绍兴供电公司,161907952
20210811,市级数据,None,国网浙江省电力有限公司绍兴供电公司,156496970
20210812,市级数据,None,国网浙江省电力有限公司绍兴供电公司,154480522
20210813,市级数据,None,国网浙江省电力有限公司绍兴供电公司,152547157
20210814,市级数据,None,国网浙江省电力有限公司绍兴供电公司,143786034
20210815,市级数据,None,国网浙江省电力有限公司绍兴供电公司,138808486
20210816,市级数据,None,国网浙江省电力有限公司绍兴供电公司,144223305
20210817,市级数据,None,国网浙江省电力有限公司绍兴供电公司,147459780
20210818,市级数据,None,国网浙江省电力有限公司绍兴供电公司,148744087
20210819,市级数据,None,国网浙江省电力有限公司绍兴供电公司,152470570
