rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司舟山供电公司,57377329
20210402,市级数据,None,国网浙江省电力有限公司舟山供电公司,52716296
20210403,市级数据,None,国网浙江省电力有限公司舟山供电公司,50496876
20210404,市级数据,None,国网浙江省电力有限公司舟山供电公司,50045635
20210405,市级数据,None,国网浙江省电力有限公司舟山供电公司,50879588
20210406,市级数据,None,国网浙江省电力有限公司舟山供电公司,52282895
20210407,市级数据,None,国网浙江省电力有限公司舟山供电公司,51636462
20210408,市级数据,None,国网浙江省电力有限公司舟山供电公司,30559087
20210409,市级数据,None,国网浙江省电力有限公司舟山供电公司,64156319
20210410,市级数据,None,国网浙江省电力有限公司舟山供电公司,65630446
20210411,市级数据,None,国网浙江省电力有限公司舟山供电公司,64384643
20210412,市级数据,None,国网浙江省电力有限公司舟山供电公司,65063839
20210413,市级数据,None,国网浙江省电力有限公司舟山供电公司,64852832
20210414,市级数据,None,国网浙江省电力有限公司舟山供电公司,64684310
20210415,市级数据,None,国网浙江省电力有限公司舟山供电公司,65780972
20210416,市级数据,None,国网浙江省电力有限公司舟山供电公司,30666484
20210417,市级数据,None,国网浙江省电力有限公司舟山供电公司,30385475
20210418,市级数据,None,国网浙江省电力有限公司舟山供电公司,64353449
20210419,市级数据,None,国网浙江省电力有限公司舟山供电公司,64133091
20210420,市级数据,None,国网浙江省电力有限公司舟山供电公司,63291601
20210421,市级数据,None,国网浙江省电力有限公司舟山供电公司,66150712
20210422,市级数据,None,国网浙江省电力有限公司舟山供电公司,62310600
20210423,市级数据,None,国网浙江省电力有限公司舟山供电公司,62482530
20210424,市级数据,None,国网浙江省电力有限公司舟山供电公司,61786050
20210425,市级数据,None,国网浙江省电力有限公司舟山供电公司,59896998
20210426,市级数据,None,国网浙江省电力有限公司舟山供电公司,63005116
20210427,市级数据,None,国网浙江省电力有限公司舟山供电公司,61961790
20210428,市级数据,None,国网浙江省电力有限公司舟山供电公司,61939705
20210429,市级数据,None,国网浙江省电力有限公司舟山供电公司,60326493
20210430,市级数据,None,国网浙江省电力有限公司舟山供电公司,51993393
20210501,市级数据,None,国网浙江省电力有限公司舟山供电公司,42865890
20210502,市级数据,None,国网浙江省电力有限公司舟山供电公司,44796442
20210503,市级数据,None,国网浙江省电力有限公司舟山供电公司,50560109
20210504,市级数据,None,国网浙江省电力有限公司舟山供电公司,55585295
20210505,市级数据,None,国网浙江省电力有限公司舟山供电公司,51813772
20210506,市级数据,None,国网浙江省电力有限公司舟山供电公司,50908067
20210507,市级数据,None,国网浙江省电力有限公司舟山供电公司,52118868
20210508,市级数据,None,国网浙江省电力有限公司舟山供电公司,52058926
20210509,市级数据,None,国网浙江省电力有限公司舟山供电公司,52143346
20210510,市级数据,None,国网浙江省电力有限公司舟山供电公司,61155804
20210511,市级数据,None,国网浙江省电力有限公司舟山供电公司,56923659
20210512,市级数据,None,国网浙江省电力有限公司舟山供电公司,62369579
20210513,市级数据,None,国网浙江省电力有限公司舟山供电公司,72248318
20210514,市级数据,None,国网浙江省电力有限公司舟山供电公司,67959989
20210515,市级数据,None,国网浙江省电力有限公司舟山供电公司,54931461
20210516,市级数据,None,国网浙江省电力有限公司舟山供电公司,75445305
20210517,市级数据,None,国网浙江省电力有限公司舟山供电公司,71747476
20210518,市级数据,None,国网浙江省电力有限公司舟山供电公司,73577406
20210519,市级数据,None,国网浙江省电力有限公司舟山供电公司,73021055
20210520,市级数据,None,国网浙江省电力有限公司舟山供电公司,71665791
20210521,市级数据,None,国网浙江省电力有限公司舟山供电公司,65979163
20210522,市级数据,None,国网浙江省电力有限公司舟山供电公司,60345628
20210523,市级数据,None,国网浙江省电力有限公司舟山供电公司,55683390
20210524,市级数据,None,国网浙江省电力有限公司舟山供电公司,59066578
20210525,市级数据,None,国网浙江省电力有限公司舟山供电公司,57117234
20210526,市级数据,None,国网浙江省电力有限公司舟山供电公司,66546664
20210527,市级数据,None,国网浙江省电力有限公司舟山供电公司,66591761
20210528,市级数据,None,国网浙江省电力有限公司舟山供电公司,68308804
20210529,市级数据,None,国网浙江省电力有限公司舟山供电公司,66226428
20210530,市级数据,None,国网浙江省电力有限公司舟山供电公司,66388451
