rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司衢州供电公司,51044156
20210402,市级数据,None,国网浙江省电力有限公司衢州供电公司,51947640
20210403,市级数据,None,国网浙江省电力有限公司衢州供电公司,50509970
20210404,市级数据,None,国网浙江省电力有限公司衢州供电公司,46740896
20210405,市级数据,None,国网浙江省电力有限公司衢州供电公司,49970489
20210406,市级数据,None,国网浙江省电力有限公司衢州供电公司,51079497
20210407,市级数据,None,国网浙江省电力有限公司衢州供电公司,52223275
20210408,市级数据,None,国网浙江省电力有限公司衢州供电公司,53306738
20210409,市级数据,None,国网浙江省电力有限公司衢州供电公司,50456611
20210410,市级数据,None,国网浙江省电力有限公司衢州供电公司,49883812
20210411,市级数据,None,国网浙江省电力有限公司衢州供电公司,49710537
20210412,市级数据,None,国网浙江省电力有限公司衢州供电公司,49701128
20210413,市级数据,None,国网浙江省电力有限公司衢州供电公司,50777541
20210414,市级数据,None,国网浙江省电力有限公司衢州供电公司,51446441
20210415,市级数据,None,国网浙江省电力有限公司衢州供电公司,50439595
20210416,市级数据,None,国网浙江省电力有限公司衢州供电公司,50212537
20210417,市级数据,None,国网浙江省电力有限公司衢州供电公司,49852320
20210418,市级数据,None,国网浙江省电力有限公司衢州供电公司,47917497
20210419,市级数据,None,国网浙江省电力有限公司衢州供电公司,48658302
20210420,市级数据,None,国网浙江省电力有限公司衢州供电公司,49119340
20210421,市级数据,None,国网浙江省电力有限公司衢州供电公司,48844352
20210422,市级数据,None,国网浙江省电力有限公司衢州供电公司,50856468
20210423,市级数据,None,国网浙江省电力有限公司衢州供电公司,50651957
20210424,市级数据,None,国网浙江省电力有限公司衢州供电公司,50004828
20210425,市级数据,None,国网浙江省电力有限公司衢州供电公司,49840019
20210426,市级数据,None,国网浙江省电力有限公司衢州供电公司,50480004
20210427,市级数据,None,国网浙江省电力有限公司衢州供电公司,50894495
20210428,市级数据,None,国网浙江省电力有限公司衢州供电公司,51808739
20210429,市级数据,None,国网浙江省电力有限公司衢州供电公司,50292405
20210430,市级数据,None,国网浙江省电力有限公司衢州供电公司,49315156
20210501,市级数据,None,国网浙江省电力有限公司衢州供电公司,43080556
20210502,市级数据,None,国网浙江省电力有限公司衢州供电公司,43022945
20210503,市级数据,None,国网浙江省电力有限公司衢州供电公司,46303513
20210504,市级数据,None,国网浙江省电力有限公司衢州供电公司,49634025
20210505,市级数据,None,国网浙江省电力有限公司衢州供电公司,48821736
20210506,市级数据,None,国网浙江省电力有限公司衢州供电公司,49054655
20210507,市级数据,None,国网浙江省电力有限公司衢州供电公司,49396519
20210508,市级数据,None,国网浙江省电力有限公司衢州供电公司,50576627
20210509,市级数据,None,国网浙江省电力有限公司衢州供电公司,49601926
20210510,市级数据,None,国网浙江省电力有限公司衢州供电公司,51159197
20210511,市级数据,None,国网浙江省电力有限公司衢州供电公司,50702463
20210512,市级数据,None,国网浙江省电力有限公司衢州供电公司,51421562
20210513,市级数据,None,国网浙江省电力有限公司衢州供电公司,51101947
20210514,市级数据,None,国网浙江省电力有限公司衢州供电公司,52081744
20210515,市级数据,None,国网浙江省电力有限公司衢州供电公司,53047833
20210516,市级数据,None,国网浙江省电力有限公司衢州供电公司,50285765
20210517,市级数据,None,国网浙江省电力有限公司衢州供电公司,49605284
20210518,市级数据,None,国网浙江省电力有限公司衢州供电公司,49115357
20210519,市级数据,None,国网浙江省电力有限公司衢州供电公司,50482821
20210520,市级数据,None,国网浙江省电力有限公司衢州供电公司,50890460
20210521,市级数据,None,国网浙江省电力有限公司衢州供电公司,51191328
20210522,市级数据,None,国网浙江省电力有限公司衢州供电公司,51134861
20210523,市级数据,None,国网浙江省电力有限公司衢州供电公司,49973117
20210524,市级数据,None,国网浙江省电力有限公司衢州供电公司,50071591
20210525,市级数据,None,国网浙江省电力有限公司衢州供电公司,50929389
20210526,市级数据,None,国网浙江省电力有限公司衢州供电公司,50378338
20210527,市级数据,None,国网浙江省电力有限公司衢州供电公司,48624907
20210528,市级数据,None,国网浙江省电力有限公司衢州供电公司,50401167
20210529,市级数据,None,国网浙江省电力有限公司衢州供电公司,49229198
20210530,市级数据,None,国网浙江省电力有限公司衢州供电公司,48861507
