rq,type,区县,市,sum
20210401,市级数据,None,国网浙江省电力有限公司金华供电公司,114597799
20210402,市级数据,None,国网浙江省电力有限公司金华供电公司,118743997
20210403,市级数据,None,国网浙江省电力有限公司金华供电公司,116379683
20210404,市级数据,None,国网浙江省电力有限公司金华供电公司,97292071
20210405,市级数据,None,国网浙江省电力有限公司金华供电公司,113857325
20210406,市级数据,None,国网浙江省电力有限公司金华供电公司,118484367
20210407,市级数据,None,国网浙江省电力有限公司金华供电公司,121421190
20210408,市级数据,None,国网浙江省电力有限公司金华供电公司,124800823
20210409,市级数据,None,国网浙江省电力有限公司金华供电公司,120850789
20210410,市级数据,None,国网浙江省电力有限公司金华供电公司,119612944
20210411,市级数据,None,国网浙江省电力有限公司金华供电公司,120353469
20210412,市级数据,None,国网浙江省电力有限公司金华供电公司,122025762
20210413,市级数据,None,国网浙江省电力有限公司金华供电公司,123379190
20210414,市级数据,None,国网浙江省电力有限公司金华供电公司,123588631
20210415,市级数据,None,国网浙江省电力有限公司金华供电公司,120797063
20210416,市级数据,None,国网浙江省电力有限公司金华供电公司,118543381
20210417,市级数据,None,国网浙江省电力有限公司金华供电公司,118878098
20210418,市级数据,None,国网浙江省电力有限公司金华供电公司,116059967
20210419,市级数据,None,国网浙江省电力有限公司金华供电公司,117928211
20210420,市级数据,None,国网浙江省电力有限公司金华供电公司,118949089
20210421,市级数据,None,国网浙江省电力有限公司金华供电公司,119470686
20210422,市级数据,None,国网浙江省电力有限公司金华供电公司,120648987
20210423,市级数据,None,国网浙江省电力有限公司金华供电公司,121798832
20210424,市级数据,None,国网浙江省电力有限公司金华供电公司,120496450
20210425,市级数据,None,国网浙江省电力有限公司金华供电公司,119181164
20210426,市级数据,None,国网浙江省电力有限公司金华供电公司,120122094
20210427,市级数据,None,国网浙江省电力有限公司金华供电公司,122424823
20210428,市级数据,None,国网浙江省电力有限公司金华供电公司,122705686
20210429,市级数据,None,国网浙江省电力有限公司金华供电公司,119605807
20210430,市级数据,None,国网浙江省电力有限公司金华供电公司,113647747
20210501,市级数据,None,国网浙江省电力有限公司金华供电公司,76141495
20210502,市级数据,None,国网浙江省电力有限公司金华供电公司,86523938
20210503,市级数据,None,国网浙江省电力有限公司金华供电公司,106446449
20210504,市级数据,None,国网浙江省电力有限公司金华供电公司,117308243
20210505,市级数据,None,国网浙江省电力有限公司金华供电公司,117159448
20210506,市级数据,None,国网浙江省电力有限公司金华供电公司,119622135
20210507,市级数据,None,国网浙江省电力有限公司金华供电公司,122288278
20210508,市级数据,None,国网浙江省电力有限公司金华供电公司,124803674
20210509,市级数据,None,国网浙江省电力有限公司金华供电公司,122459571
20210510,市级数据,None,国网浙江省电力有限公司金华供电公司,127948103
20210511,市级数据,None,国网浙江省电力有限公司金华供电公司,123635690
20210512,市级数据,None,国网浙江省电力有限公司金华供电公司,126461998
20210513,市级数据,None,国网浙江省电力有限公司金华供电公司,126710814
20210514,市级数据,None,国网浙江省电力有限公司金华供电公司,131304419
20210515,市级数据,None,国网浙江省电力有限公司金华供电公司,136728724
20210516,市级数据,None,国网浙江省电力有限公司金华供电公司,129236917
20210517,市级数据,None,国网浙江省电力有限公司金华供电公司,121467523
20210518,市级数据,None,国网浙江省电力有限公司金华供电公司,121418466
20210519,市级数据,None,国网浙江省电力有限公司金华供电公司,120906665
20210520,市级数据,None,国网浙江省电力有限公司金华供电公司,121144068
20210521,市级数据,None,国网浙江省电力有限公司金华供电公司,120977518
20210522,市级数据,None,国网浙江省电力有限公司金华供电公司,120507978
20210523,市级数据,None,国网浙江省电力有限公司金华供电公司,117704244
20210524,市级数据,None,国网浙江省电力有限公司金华供电公司,120088966
20210525,市级数据,None,国网浙江省电力有限公司金华供电公司,122773810
20210526,市级数据,None,国网浙江省电力有限公司金华供电公司,125802111
20210527,市级数据,None,国网浙江省电力有限公司金华供电公司,127505752
20210528,市级数据,None,国网浙江省电力有限公司金华供电公司,127665696
20210529,市级数据,None,国网浙江省电力有限公司金华供电公司,122574850
20210530,市级数据,None,国网浙江省电力有限公司金华供电公司,119174245
20210531,市级数据,None,国网浙江省电力有限公司金华供电公司,120587883
20210601,市级数据,None,国网浙江省电力有限公司金华供电公司,116211040
20210602,市级数据,None,国网浙江省电力有限公司金华供电公司,124203340
20210603,市级数据,None,国网浙江省电力有限公司金华供电公司,128469467
20210604,市级数据,None,国网浙江省电力有限公司金华供电公司,121469310
20210605,市级数据,None,国网浙江省电力有限公司金华供电公司,120678387
20210606,市级数据,None,国网浙江省电力有限公司金华供电公司,118789361
20210607,市级数据,None,国网浙江省电力有限公司金华供电公司,125748460
20210608,市级数据,None,国网浙江省电力有限公司金华供电公司,132073030
20210609,市级数据,None,国网浙江省电力有限公司金华供电公司,138499094
20210610,市级数据,None,国网浙江省电力有限公司金华供电公司,135914483
20210611,市级数据,None,国网浙江省电力有限公司金华供电公司,139701838
20210612,市级数据,None,国网浙江省电力有限公司金华供电公司,135956003
20210613,市级数据,None,国网浙江省电力有限公司金华供电公司,126241059
20210614,市级数据,None,国网浙江省电力有限公司金华供电公司,102529804
20210615,市级数据,None,国网浙江省电力有限公司金华供电公司,133377566
20210616,市级数据,None,国网浙江省电力有限公司金华供电公司,148614283
20210617,市级数据,None,国网浙江省电力有限公司金华供电公司,155414269
20210618,市级数据,None,国网浙江省电力有限公司金华供电公司,153011616
20210619,市级数据,None,国网浙江省电力有限公司金华供电公司,133746002
20210620,市级数据,None,国网浙江省电力有限公司金华供电公司,122379025
20210621,市级数据,None,国网浙江省电力有限公司金华供电公司,123238524
20210622,市级数据,None,国网浙江省电力有限公司金华供电公司,123974737
20210623,市级数据,None,国网浙江省电力有限公司金华供电公司,127307932
20210624,市级数据,None,国网浙江省电力有限公司金华供电公司,132098991
20210625,市级数据,None,国网浙江省电力有限公司金华供电公司,138436892
20210626,市级数据,None,国网浙江省电力有限公司金华供电公司,143201687
20210627,市级数据,None,国网浙江省电力有限公司金华供电公司,138538488
20210628,市级数据,None,国网浙江省电力有限公司金华供电公司,139656903
20210629,市级数据,None,国网浙江省电力有限公司金华供电公司,140260469
20210630,市级数据,None,国网浙江省电力有限公司金华供电公司,132602803
20210701,市级数据,None,国网浙江省电力有限公司金华供电公司,123602865
20210702,市级数据,None,国网浙江省电力有限公司金华供电公司,131636169
20210703,市级数据,None,国网浙江省电力有限公司金华供电公司,142906047
20210704,市级数据,None,国网浙江省电力有限公司金华供电公司,148833162
20210705,市级数据,None,国网浙江省电力有限公司金华供电公司,158082729
20210706,市级数据,None,国网浙江省电力有限公司金华供电公司,157706702
20210707,市级数据,None,国网浙江省电力有限公司金华供电公司,161593980
20210708,市级数据,None,国网浙江省电力有限公司金华供电公司,163577399
20210709,市级数据,None,国网浙江省电力有限公司金华供电公司,156187625
20210710,市级数据,None,国网浙江省电力有限公司金华供电公司,149975623
20210711,市级数据,None,国网浙江省电力有限公司金华供电公司,153649497
20210712,市级数据,None,国网浙江省电力有限公司金华供电公司,165884015
20210713,市级数据,None,国网浙江省电力有限公司金华供电公司,171776380
20210714,市级数据,None,国网浙江省电力有限公司金华供电公司,173246826
20210715,市级数据,None,国网浙江省电力有限公司金华供电公司,169280893
20210716,市级数据,None,国网浙江省电力有限公司金华供电公司,167208729
20210717,市级数据,None,国网浙江省电力有限公司金华供电公司,164398757
20210718,市级数据,None,国网浙江省电力有限公司金华供电公司,156458354
