rq,type,区县,市,sum
20210401,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6155265
20210402,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5990720
20210403,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,4611709
20210404,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,2532189
20210405,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5922368
20210406,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6172064
20210407,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6347945
20210408,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6180925
20210409,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6329483
20210410,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6309413
20210411,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5868722
20210412,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5959529
20210413,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6167511
20210414,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6168105
20210415,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5941090
20210416,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6047656
20210417,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6142701
20210418,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5692445
20210419,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6249954
20210420,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6152666
20210421,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6125486
20210422,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6067378
20210423,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6215187
20210424,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6236053
20210425,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6284392
20210426,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5769447
20210427,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6390025
20210428,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6383384
20210429,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5827655
20210430,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6181114
20210501,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5699090
20210502,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5899487
20210503,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6106430
20210504,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6288652
20210505,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6352830
20210506,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6348910
20210507,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6602757
20210508,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6096272
20210509,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6251181
20210510,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6120988
20210511,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6428302
20210512,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6487596
20210513,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6492412
20210514,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6351582
20210515,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5646198
20210516,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,4098331
20210517,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5703551
20210518,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6538967
20210519,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6283210
20210520,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5792532
20210521,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5818132
20210522,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,4126155
20210523,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,1947912
20210524,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5648800
20210525,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,5520597
20210526,区级数据,国网浙江云和县供电有限公司,国网浙江省电力有限公司丽水供电公司,6099142
