rq,type,区县,市,sum
20210401,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3576445
20210402,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3688284
20210403,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3217940
20210404,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,2184604
20210405,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3203076
20210406,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3726878
20210407,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3847391
20210408,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3998602
20210409,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3907735
20210410,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3859405
20210411,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3906768
20210412,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4056641
20210413,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4059353
20210414,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4045591
20210415,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3897885
20210416,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3719390
20210417,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3689229
20210418,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3680575
20210419,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3798598
20210420,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3679431
20210421,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3882327
20210422,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3844988
20210423,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3886531
20210424,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3774103
20210425,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3789941
20210426,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3830512
20210427,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4067434
20210428,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4055681
20210429,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3955635
20210430,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3484066
20210501,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,1760493
20210502,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,2109655
20210503,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3189147
20210504,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3702574
20210505,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3743041
20210506,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3822215
20210507,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3827743
20210508,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3914247
20210509,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3828300
20210510,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3969904
20210511,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4044092
20210512,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4105260
20210513,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4146601
20210514,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4169402
20210515,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4129685
20210516,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3829569
20210517,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4011634
20210518,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3963981
20210519,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3867271
20210520,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3717007
20210521,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3707540
20210522,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3714556
20210523,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3569772
20210524,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3704272
20210525,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3754084
20210526,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3890741
20210527,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3928625
20210528,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3868728
20210529,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3769225
20210530,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3041098
20210531,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3605742
20210601,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3262462
20210602,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3721734
20210603,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4226505
20210604,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3993701
20210605,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3883861
20210606,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3813271
20210607,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4084911
20210608,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4158523
20210609,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4253159
20210610,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4256780
20210611,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4314567
20210612,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4233774
20210613,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3775029
20210614,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,2688627
20210615,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3849849
20210616,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4456585
20210617,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4694728
20210618,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4649494
20210619,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4493395
20210620,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4123294
20210621,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4158420
20210622,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4149898
20210623,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4172094
20210624,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4177942
20210625,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4292504
20210626,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4515309
20210627,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4207348
20210628,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4401880
20210629,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,4300216
20210630,区级数据,国网浙江丽水供电公司南城供电分公司,国网浙江省电力有限公司丽水供电公司,3820773
