rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1143255
20210402,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1131507
20210403,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1020287
20210404,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,824624
20210405,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1027365
20210406,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1101552
20210407,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1078177
20210408,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1177692
20210409,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1124227
20210410,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1117646
20210411,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1127844
20210412,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1160459
20210413,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1189780
20210414,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1212774
20210415,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1169439
20210416,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1151512
20210417,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1111936
20210418,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1095312
20210419,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1117509
20210420,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1122104
20210421,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1108357
20210422,区级数据,国网浙江省电力有限公司庆元县供电公司,国网浙江省电力有限公司丽水供电公司,1128546
