rq,type,区县,市,sum
20210401,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6920697
20210402,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7350462
20210403,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7326847
20210404,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6562562
20210405,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7150150
20210406,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7139525
20210407,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7473284
20210408,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6042112
20210409,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7175531
20210410,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7283421
20210411,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7156350
20210412,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7217990
20210413,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7476837
20210414,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7042362
20210415,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7350349
20210416,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7215315
20210417,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7194987
20210418,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7150137
20210419,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7169181
20210420,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7324114
20210421,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7389938
20210422,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7303096
20210423,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7417220
20210424,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7525019
20210425,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7411019
20210426,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6260098
20210427,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7499725
20210428,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6489781
20210429,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7593507
20210430,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7379007
20210501,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,5475607
20210502,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,5430972
20210503,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6541934
20210504,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7284953
20210505,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7261751
20210506,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7485475
20210507,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7632866
20210508,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7327021
20210509,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7306725
20210510,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7321036
20210511,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7481839
20210512,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7488805
20210513,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7318551
20210514,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7710647
20210515,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7848226
20210516,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7251187
20210517,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7256292
20210518,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7480295
20210519,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7320035
20210520,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6279736
20210521,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7119243
20210522,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6590990
20210523,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6251835
20210524,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6538429
20210525,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6834592
20210526,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6821345
20210527,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6626644
20210528,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7292627
20210529,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7272981
20210530,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7046422
20210531,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7469112
20210601,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7126451
20210602,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6992172
20210603,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7501053
20210604,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7276707
20210605,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7156970
20210606,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6591890
20210607,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6912603
20210608,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,6824649
20210609,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7687984
20210610,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7866004
20210611,区级数据,国网浙江缙云县供电公司,国网浙江省电力有限公司丽水供电公司,7173927
