rq,type,区县,市,sum
20210401,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3551822
20210402,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3666818
20210403,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3377877
20210404,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,2994651
20210405,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3269145
20210406,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3501009
20210407,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3560976
20210408,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3733652
20210409,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3622165
20210410,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3518667
20210411,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3560500
20210412,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3641789
20210413,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3628941
20210414,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3622563
20210415,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3574243
20210416,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3539866
20210417,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3408591
20210418,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3424734
20210419,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3534806
20210420,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3573910
20210421,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3596564
20210422,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3641353
20210423,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3647782
20210424,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3625568
20210425,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3515368
20210426,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3558682
20210427,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3599269
20210428,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3651382
20210429,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3623507
20210430,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3542861
20210501,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3099787
20210502,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3148630
20210503,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3397126
20210504,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3542336
20210505,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3482139
20210506,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3571646
20210507,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3658742
20210508,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3811233
20210509,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3747915
20210510,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,4211347
20210511,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,3952414
20210512,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,4138885
20210513,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,4303539
20210514,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,4714178
20210515,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,5123558
20210516,区级数据,国网浙江丽水市莲都区供电有限公司,国网浙江省电力有限公司丽水供电公司,4867842
