rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3302629
20210402,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3147897
20210403,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3366549
20210404,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3232549
20210405,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3298647
20210406,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3485829
20210407,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3574288
20210408,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3553865
20210409,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3482099
20210410,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3562007
20210411,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3586215
20210412,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3585576
20210413,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3574365
20210414,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3580537
20210415,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3545204
20210416,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3540266
20210417,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3478366
20210418,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3490694
20210419,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3365310
20210420,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3422156
20210421,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3438862
20210422,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3525947
20210423,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3589177
20210424,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3493694
20210425,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3494897
20210426,区级数据,国网浙江省电力有限公司遂昌县供电公司,国网浙江省电力有限公司丽水供电公司,3473036
