rq,type,区县,市,sum
20210401,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4742829
20210402,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4701427
20210403,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4651813
20210404,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,3754712
20210405,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4501084
20210406,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5051430
20210407,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5147885
20210408,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5123379
20210409,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4995441
20210410,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4791954
20210411,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4778135
20210412,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4830555
20210413,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4972674
20210414,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5177441
20210415,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5112182
20210416,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4751022
20210417,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4779552
20210418,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4973784
20210419,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4877271
20210420,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4858827
20210421,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4638349
20210422,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4153258
20210423,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4151186
20210424,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4160351
20210425,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4053572
20210426,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4118419
20210427,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4167247
20210428,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4161938
20210429,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4696944
20210430,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4758556
20210501,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,3653026
20210502,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,3607269
20210503,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4436990
20210504,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4903227
20210505,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4917228
20210506,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4994572
20210507,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4943730
20210508,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5094609
20210509,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4826817
20210510,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4975416
20210511,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4993425
20210512,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5072801
20210513,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5029932
20210514,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5186251
20210515,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5516715
20210516,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5233279
20210517,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5010864
20210518,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4857475
20210519,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4945278
20210520,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,5002400
20210521,区级数据,国网浙江青田县供电有限公司,国网浙江省电力有限公司丽水供电公司,4442779
