rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2241680
20210402,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2260632
20210403,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2075933
20210404,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,1612080
20210405,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2036692
20210406,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2203494
20210407,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2262149
20210408,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2369184
20210409,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2278506
20210410,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2262224
20210411,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2316221
20210412,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2331565
20210413,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2358078
20210414,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2380572
20210415,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2291998
20210416,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2256665
20210417,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2166809
20210418,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2184406
20210419,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2197852
20210420,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2216215
20210421,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2210237
20210422,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2233032
20210423,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2275706
20210424,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2290998
20210425,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2267026
20210426,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2280174
20210427,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2346191
20210428,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2379710
20210429,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2261513
20210430,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2161992
20210501,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,1576480
20210502,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,1714562
20210503,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2045254
20210504,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2267193
20210505,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2218963
20210506,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2255608
20210507,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2287887
20210508,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2294676
20210509,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2265016
20210510,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2306837
20210511,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2331101
20210512,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2336461
20210513,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2323365
20210514,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2466685
20210515,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2545566
20210516,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2463564
20210517,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2435583
20210518,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2337608
20210519,区级数据,国网浙江省电力公司龙泉市供电公司,国网浙江省电力有限公司丽水供电公司,2298287
