rq,type,区县,市,sum
20210401,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,3880
20210402,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,3926
20210403,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,3630
20210404,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,2064
20210405,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4359
20210406,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4245
20210407,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4176
20210408,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4465
20210409,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4477
20210410,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,3886
20210411,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4723
20210412,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,3646
20210413,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4137
20210414,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4253
20210415,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4157
20210416,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4234
20210417,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4720
20210418,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,3904
20210419,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,3831
20210420,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4150
20210421,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4099
20210422,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,3835
20210423,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4179
20210424,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4059
20210425,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4138
20210426,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4369
20210427,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4683
20210428,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4772
20210429,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4324
20210430,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4173
20210501,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,2041
20210502,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,3985
20210503,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4747
20210504,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4635
20210505,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4450
20210506,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4677
20210507,区级数据,华耀配售电公司,国网浙江省电力有限公司台州供电公司,4266
