rq,type,区县,市,sum
20210401,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5734352
20210402,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5850926
20210403,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5269859
20210404,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,3949959
20210405,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5085522
20210406,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5697242
20210407,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5859091
20210408,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,6054755
20210409,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5847454
20210410,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5847216
20210411,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5820061
20210412,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,6014534
20210413,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5998474
20210414,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,6013881
20210415,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5849328
20210416,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5651922
20210417,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5687631
20210418,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5525448
20210419,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5763826
20210420,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5742813
20210421,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5789774
20210422,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5973780
20210423,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,6007650
20210424,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,6008353
20210425,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5852742
20210426,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5922715
20210427,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,6060461
20210428,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,6136534
20210429,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5954006
20210430,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5594274
20210501,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,3665456
20210502,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,3984007
20210503,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5223744
20210504,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5781925
20210505,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5802422
20210506,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5858152
20210507,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5997418
20210508,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5922027
20210509,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5798002
20210510,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5996209
20210511,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5841257
20210512,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5942709
20210513,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5994301
20210514,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,6202544
20210515,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,6225320
20210516,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5944191
20210517,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5855700
20210518,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5829333
20210519,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5895106
20210520,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5908487
20210521,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5901965
20210522,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5843197
20210523,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5730239
20210524,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5866995
20210525,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5818642
20210526,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5785016
20210527,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5861905
20210528,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5884226
20210529,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5722766
20210530,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5517099
20210531,区级数据,国网浙江三门县供电有限公司,国网浙江省电力有限公司台州供电公司,5292232
