rq,type,区县,市,sum
20210401,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15696285
20210402,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,16023369
20210403,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,14992753
20210404,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,11278768
20210405,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,14034805
20210406,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15324080
20210407,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15592078
20210408,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,16000666
20210409,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15641990
20210410,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15403021
20210411,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15370132
20210412,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15888371
20210413,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,16108685
20210414,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,16178623
20210415,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,16162569
20210416,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15824190
20210417,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15625576
20210418,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15185356
20210419,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15031568
20210420,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15312652
20210421,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15836269
20210422,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,16077197
20210423,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15548228
20210424,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15377355
20210425,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,14837621
20210426,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15180090
20210427,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15451809
20210428,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15616622
20210429,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15516625
20210430,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,15167804
20210501,区级数据,国网浙江临海市供电有限公司,国网浙江省电力有限公司台州供电公司,11391255
