rq,type,区县,市,sum
20210401,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3755785
20210402,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3821706
20210403,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3613993
20210404,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3040051
20210405,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3406879
20210406,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3633880
20210407,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3691690
20210408,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3856536
20210409,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3714419
20210410,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3668281
20210411,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3642597
20210412,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3741072
20210413,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3913249
20210414,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3919645
20210415,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3889561
20210416,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3775750
20210417,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3716702
20210418,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3473373
20210419,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3493835
20210420,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3706904
20210421,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3747915
20210422,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3785494
20210423,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3869716
20210424,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3774304
20210425,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3593937
20210426,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3628712
20210427,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3839570
20210428,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3856527
20210429,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3674213
20210430,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3541223
20210501,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,2946337
20210502,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,2833477
20210503,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3282209
20210504,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3704768
20210505,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3643472
20210506,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3670450
20210507,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3811744
20210508,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3884811
20210509,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3734360
20210510,区级数据,国网浙江仙居县供电公司,国网浙江省电力有限公司台州供电公司,3961396
