rq,type,区县,市,sum
20210401,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4657946
20210402,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4834124
20210403,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4616955
20210404,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,3892381
20210405,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4390493
20210406,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4652951
20210407,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4736333
20210408,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4922661
20210409,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4654401
20210410,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4481523
20210411,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4655091
20210412,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4768864
20210413,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4890623
20210414,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5005725
20210415,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4875932
20210416,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4726601
20210417,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4629988
20210418,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4460221
20210419,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4497311
20210420,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4542358
20210421,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4639699
20210422,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4714166
20210423,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4835451
20210424,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4778369
20210425,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4607888
20210426,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4616135
20210427,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4769129
20210428,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4839494
20210429,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4613845
20210430,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4329451
20210501,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,3327285
20210502,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,3624761
20210503,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4241943
20210504,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4637157
20210505,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4465616
20210506,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4540968
20210507,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4630789
20210508,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4756603
20210509,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4552717
20210510,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4832950
20210511,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4799302
20210512,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4826025
20210513,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4861311
20210514,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5062963
20210515,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5341519
20210516,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5136450
20210517,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4721275
20210518,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4660198
20210519,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4673056
20210520,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4696094
20210521,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4654891
20210522,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4648968
20210523,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4574896
20210524,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4615438
20210525,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4608837
20210526,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4721732
20210527,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4779358
20210528,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4882187
20210529,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4714673
20210530,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4479729
20210531,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4424840
20210601,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4656575
20210602,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4871084
20210603,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5110112
20210604,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4726216
20210605,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4618634
20210606,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4473653
20210607,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4629948
20210608,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4831872
20210609,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5106212
20210610,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5251131
20210611,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5284023
20210612,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5215231
20210613,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4896805
20210614,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4571457
20210615,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5392096
20210616,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5958236
20210617,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6227429
20210618,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6140641
20210619,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5398446
20210620,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4780342
20210621,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4659933
20210622,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4711716
20210623,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4648227
20210624,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4868369
20210625,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5113463
20210626,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5376083
20210627,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5158074
20210628,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5262036
20210629,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5089581
20210630,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4884530
20210701,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5092032
20210702,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5369163
20210703,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5723667
20210704,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5816315
20210705,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5957723
20210706,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6151694
20210707,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6561735
20210708,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6749517
20210709,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6420691
20210710,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6088944
20210711,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6255989
20210712,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6615303
20210713,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6761414
20210714,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6712064
20210715,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6650882
20210716,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6618177
20210717,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6392697
20210718,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5911929
20210719,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6144503
20210720,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6014376
20210721,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5914294
20210722,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5666822
20210723,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5191502
20210724,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4542118
20210725,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,3377331
20210726,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4339386
20210727,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5049691
20210728,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5546481
20210729,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6053629
20210730,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5929906
20210731,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5563166
20210801,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5351375
20210802,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5786277
20210803,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5702025
20210804,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5513441
20210805,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5584547
20210806,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5661149
20210807,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5621156
20210808,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5438118
20210809,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6028860
20210810,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6076388
20210811,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5861304
20210812,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5618708
20210813,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5520080
20210814,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5442422
20210815,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5125732
20210816,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5411525
20210817,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5340303
20210818,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5466108
20210819,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5506166
20210820,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5790411
20210821,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5712359
20210822,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5502673
20210823,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5958557
20210824,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6385830
20210825,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6318985
20210826,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6314195
20210827,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6290092
20210828,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6225471
20210829,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6150443
20210830,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6299046
20210831,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6364878
20210901,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6440276
20210902,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6533755
20210903,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6165852
20210904,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6072474
20210905,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5953154
20210906,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,6202366
20210907,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5663410
20210908,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5346198
20210909,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5523611
20210910,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5836691
20210911,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5920145
20210912,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5095871
20210913,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4769549
20210914,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4861947
20210915,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4870552
20210916,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4895099
20210917,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4939645
20210918,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5152822
20210919,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5312657
20210920,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5225790
20210921,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4234706
20210922,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,4765224
20210923,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5294805
20210924,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5266259
20210925,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5204379
20210926,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5103932
20210927,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5218763
20210928,区级数据,国网浙江天台县供电有限公司,国网浙江省电力有限公司台州供电公司,5434094
