rq,type,区县,市,sum
20210401,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9035508
20210402,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8988172
20210403,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8664971
20210404,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,6835097
20210405,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8240925
20210406,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9009450
20210407,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9085887
20210408,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9295384
20210409,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8914544
20210410,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9044566
20210411,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9112325
20210412,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9280164
20210413,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9330929
20210414,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9407556
20210415,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9223673
20210416,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9006300
20210417,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8994333
20210418,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8577512
20210419,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8873434
20210420,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8917219
20210421,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8939683
20210422,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9143968
20210423,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9130420
20210424,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9093523
20210425,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8909027
20210426,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8946095
20210427,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9160531
20210428,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,9198490
20210429,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8927987
20210430,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,8444652
20210501,区级数据,国网浙江台州市椒江区供电公司,国网浙江省电力有限公司台州供电公司,6292655
