rq,type,区县,市,sum
20210401,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17716543
20210402,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18351481
20210403,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18026586
20210404,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,12966921
20210405,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,16998701
20210406,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18175460
20210407,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18212398
20210408,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18787593
20210409,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18208545
20210410,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18198140
20210411,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17880343
20210412,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18470424
20210413,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18452143
20210414,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18878853
20210415,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18179426
20210416,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17805489
20210417,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17844115
20210418,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17203859
20210419,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17754275
20210420,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17792854
20210421,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17559308
20210422,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17914977
20210423,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17841876
20210424,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17979662
20210425,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17471575
20210426,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17727357
20210427,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18188190
20210428,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18214620
20210429,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17732239
20210430,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,16672952
20210501,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,10089617
20210502,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,12695946
20210503,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,16302511
20210504,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17442410
20210505,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17229067
20210506,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17107230
20210507,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17618821
20210508,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17771145
20210509,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17222289
20210510,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17991545
20210511,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18229806
20210512,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18535936
20210513,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18506869
20210514,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19015010
20210515,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19157293
20210516,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18355642
20210517,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18156841
20210518,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17870713
20210519,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17809877
20210520,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17636116
20210521,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17478801
20210522,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17385751
20210523,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,16736429
20210524,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17592216
20210525,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17517925
20210526,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17977658
20210527,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18183333
20210528,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17639165
20210529,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17302531
20210530,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,16517437
20210531,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,16947254
20210601,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,16175884
20210602,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18079220
20210603,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19335716
20210604,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17863511
20210605,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17594937
20210606,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,16823853
20210607,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17720015
20210608,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18397715
20210609,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19452711
20210610,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19826370
20210611,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20139361
20210612,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20253785
20210613,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19129136
20210614,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,13726527
20210615,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20395671
20210616,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22513189
20210617,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22497436
20210618,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22462088
20210619,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20487783
20210620,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18504584
20210621,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18127211
20210622,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18444291
20210623,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18769422
20210624,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19396349
20210625,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19844343
20210626,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20502492
20210627,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19769585
20210628,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20376570
20210629,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,19548923
20210630,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18991781
20210701,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,18242907
20210702,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20409306
20210703,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,21161823
20210704,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20643287
20210705,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22144881
20210706,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22579523
20210707,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23084388
20210708,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23868304
20210709,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23557879
20210710,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22381449
20210711,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,21818546
20210712,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23093198
20210713,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23409905
20210714,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23745127
20210715,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23577940
20210716,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23652909
20210717,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23498084
20210718,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22313198
20210719,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23731900
20210720,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23604998
20210721,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22803421
20210722,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,21528358
20210723,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20050589
20210724,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,17305544
20210725,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,13639707
20210726,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,20315423
20210727,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22524025
20210728,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,22735106
20210729,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23348535
20210730,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23938580
20210731,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,23690372
20210801,区级数据,国网温岭市供电公司,国网浙江省电力有限公司台州供电公司,21600333
