rq,type,区县,市,sum
20210401,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,16690776
20210402,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17156374
20210403,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,16261654
20210404,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,8118383
20210405,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,15577466
20210406,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17041451
20210407,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,16883975
20210408,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17447614
20210409,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17509258
20210410,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17133374
20210411,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,15079329
20210412,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17376549
20210413,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17664375
20210414,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17642293
20210415,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17465391
20210416,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17464434
20210417,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,16943919
20210418,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,12511507
20210419,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,16939186
20210420,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17381447
20210421,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17114527
20210422,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17396108
20210423,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17610482
20210424,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17260280
20210425,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,15156269
20210426,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,16621448
20210427,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17486257
20210428,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17449680
20210429,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17345245
20210430,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,15735749
20210501,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,6347916
20210502,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,8173319
20210503,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,15235672
20210504,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,16802294
20210505,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,16883807
20210506,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17161292
20210507,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17445401
20210508,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17068901
20210509,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,15009596
20210510,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17310794
20210511,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17722397
20210512,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17552661
20210513,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17609939
20210514,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17988691
20210515,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17513945
20210516,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,13901227
20210517,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17073202
20210518,区级数据,国网浙江玉环市供电有限公司,国网浙江省电力有限公司台州供电公司,17169082
