rq,type,区县,市,sum
20210401,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11783099
20210402,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11909165
20210403,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11492510
20210404,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,8775184
20210405,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,10680816
20210406,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11810744
20210407,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12085194
20210408,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12418891
20210409,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12172513
20210410,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11972029
20210411,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11966705
20210412,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12171917
20210413,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12219524
20210414,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12291446
20210415,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12252741
20210416,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12078304
20210417,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11907603
20210418,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11694316
20210419,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11918764
20210420,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12000726
20210421,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11957698
20210422,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12166356
20210423,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12145574
20210424,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12161491
20210425,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11845411
20210426,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11890265
20210427,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12047831
20210428,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12031340
20210429,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11903405
20210430,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11306710
20210501,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,6821341
20210502,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,7787809
20210503,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,10332595
20210504,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11276190
20210505,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11592218
20210506,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11745074
20210507,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11884574
20210508,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11865431
20210509,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,11645322
20210510,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12191272
20210511,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12323725
20210512,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12398759
20210513,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12409053
20210514,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12745671
20210515,区级数据,国网浙江台州市黄岩区供电有限公司,国网浙江省电力有限公司台州供电公司,12919893
