rq,type,区县,市,sum
20210401,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18296349
20210402,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18011496
20210403,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,16234692
20210404,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,13290181
20210405,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,15125544
20210406,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17016587
20210407,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18008849
20210408,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18174161
20210409,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17629467
20210410,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17381169
20210411,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17464550
20210412,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18299691
20210413,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17986022
20210414,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18384349
20210415,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18326651
20210416,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17781212
20210417,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,16823314
20210418,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,15660303
20210419,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17275363
20210420,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17954653
20210421,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18015190
20210422,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18195706
20210423,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18391538
20210424,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17959092
20210425,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17459477
20210426,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17584418
20210427,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18551235
20210428,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18089637
20210429,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17558777
20210430,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,16522358
20210501,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,11899584
20210502,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,11981502
20210503,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,14296825
20210504,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,16938626
20210505,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,16929218
20210506,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17558636
20210507,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17981248
20210508,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18415502
20210509,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18106860
20210510,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19894054
20210511,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,20345039
20210512,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19825232
20210513,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19147734
20210514,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19955569
20210515,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,20117974
20210516,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17545013
20210517,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17587387
20210518,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18522529
20210519,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18655542
20210520,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18525863
20210521,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18449302
20210522,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18124066
20210523,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17215975
20210524,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,17776304
20210525,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18820183
20210526,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19364553
20210527,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19274988
20210528,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19874975
20210529,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19144495
20210530,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18146595
20210531,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18820222
20210601,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18966125
20210602,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18989103
20210603,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19790472
20210604,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18956936
20210605,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18637784
20210606,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,18164133
20210607,区级数据,南湖分公司,国网浙江省电力有限公司嘉兴供电公司,19670033
