rq,type,区县,市,sum
20210401,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17487263
20210402,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17404854
20210403,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,15539117
20210404,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,11782538
20210405,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,14621073
20210406,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16668900
20210407,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17614873
20210408,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17728911
20210409,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17290829
20210410,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16970483
20210411,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,15885340
20210412,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17364754
20210413,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17575210
20210414,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17811359
20210415,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17785256
20210416,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17410682
20210417,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16742568
20210418,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,14677942
20210419,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16212816
20210420,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17376653
20210421,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17305510
20210422,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17525870
20210423,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17520155
20210424,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17456523
20210425,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16143612
20210426,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16907506
20210427,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17925178
20210428,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17683142
20210429,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17289543
20210430,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16091100
20210501,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,10061817
20210502,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,10467992
20210503,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,13057545
20210504,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,15765720
20210505,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,15772159
20210506,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16978993
20210507,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17294051
20210508,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17296059
20210509,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16275722
20210510,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,18098321
20210511,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,18622823
20210512,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,18361139
20210513,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,17862962
20210514,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,18169850
20210515,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,18468057
20210516,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16038233
20210517,区级数据,国网浙江嘉善县供电有限公司,国网浙江省电力有限公司嘉兴供电公司,16891866
