rq,type,区县,市,sum
20210401,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8627933
20210402,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8360928
20210403,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7609226
20210404,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,5370255
20210405,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,6625332
20210406,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7869095
20210407,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8660726
20210408,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8632931
20210409,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8125310
20210410,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7996782
20210411,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7722500
20210412,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8662292
20210413,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8692200
20210414,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8737607
20210415,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8931789
20210416,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8532542
20210417,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8148313
20210418,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,6912164
20210419,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7809836
20210420,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8459120
20210421,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8450058
20210422,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8863706
20210423,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9065735
20210424,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8603001
20210425,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7809618
20210426,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8209612
20210427,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9248599
20210428,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8897086
20210429,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8507823
20210430,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8037215
20210501,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,4998820
20210502,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,5026184
20210503,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,6387784
20210504,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8048385
20210505,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7833287
20210506,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8195603
20210507,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8321998
20210508,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8616462
20210509,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7680098
20210510,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8759853
20210511,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9547805
20210512,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9384157
20210513,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9265495
20210514,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9174825
20210515,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9344442
20210516,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7953094
20210517,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8129385
20210518,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8821495
20210519,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8879634
20210520,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8757482
20210521,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8523432
20210522,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8424666
20210523,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7783384
20210524,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7993201
20210525,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8705875
20210526,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9136326
20210527,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8864170
20210528,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9123166
20210529,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8706409
20210530,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7543090
20210531,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8429208
20210601,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8916862
20210602,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9316404
20210603,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9443196
20210604,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8791650
20210605,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8370745
20210606,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7587086
20210607,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8654915
20210608,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9402666
20210609,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9616861
20210610,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9909873
20210611,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9847685
20210612,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9262072
20210613,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8371202
20210614,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,6862984
20210615,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9743574
20210616,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,10304619
20210617,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,10330362
20210618,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,10408918
20210619,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9085756
20210620,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,7763874
20210621,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8539715
20210622,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9227463
20210623,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9322633
20210624,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9674739
20210625,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9859403
20210626,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9742232
20210627,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,8519736
20210628,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9579189
20210629,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9698655
20210630,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9914588
20210701,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9956728
20210702,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,10384960
20210703,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,10404385
20210704,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9007626
20210705,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,10672197
20210706,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,11377253
20210707,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,12194792
20210708,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,12118744
20210709,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,11419984
20210710,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,11156234
20210711,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,10416988
20210712,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,12448382
20210713,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,13353345
20210714,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,13140156
20210715,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,13163862
20210716,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,12822132
20210717,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,11739008
20210718,区级数据,国网浙江平湖市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,9850018
