rq,type,区县,市,sum
20210401,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30528118
20210402,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30120773
20210403,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,27805937
20210404,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,24690260
20210405,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,27372507
20210406,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,28764852
20210407,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30458792
20210408,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30888820
20210409,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29370885
20210410,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29393186
20210411,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30322433
20210412,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30912545
20210413,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30193157
20210414,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31113603
20210415,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30398124
20210416,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29803341
20210417,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29428889
20210418,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,28032563
20210419,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,28846811
20210420,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29452753
20210421,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29525585
20210422,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30262762
20210423,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30679802
20210424,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30610438
20210425,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29460416
20210426,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29484246
20210427,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30919738
20210428,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29227098
20210429,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,28026040
20210430,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,26564182
20210501,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,18195434
20210502,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,19217530
20210503,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,23644499
20210504,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,27622590
20210505,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,28665599
20210506,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29010499
20210507,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29457276
20210508,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30169603
20210509,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29576180
20210510,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30934531
20210511,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32149047
20210512,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31890692
20210513,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31321388
20210514,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31394430
20210515,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31687674
20210516,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29598407
20210517,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,28987300
20210518,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30075936
20210519,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30201787
20210520,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29807494
20210521,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29879135
20210522,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30071531
20210523,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29752605
20210524,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29037798
20210525,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29613541
20210526,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30942134
20210527,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30305881
20210528,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31052689
20210529,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29955413
20210530,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,28918861
20210531,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29976570
20210601,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30630643
20210602,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30939106
20210603,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31515146
20210604,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30103854
20210605,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,29402813
20210606,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,28895723
20210607,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30193774
20210608,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,30572463
20210609,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,31843127
20210610,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,32971576
20210611,区级数据,国网浙江海宁市供电有限公司,国网浙江省电力有限公司嘉兴供电公司,33293765
