rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8872598
20210402,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8860077
20210403,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,7997859
20210404,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,6622566
20210405,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,7713835
20210406,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8180938
20210407,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8859092
20210408,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8973066
20210409,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8634075
20210410,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8510031
20210411,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8491577
20210412,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8825113
20210413,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8537712
20210414,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8701862
20210415,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8772680
20210416,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8429584
20210417,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8281107
20210418,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,7484984
20210419,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,7982274
20210420,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8218440
20210421,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8406946
20210422,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8697432
20210423,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8856292
20210424,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8833006
20210425,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8048729
20210426,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8160450
20210427,区级数据,国网浙江省电力有限公司海盐县供电公司,国网浙江省电力有限公司嘉兴供电公司,8867078
