rq,type,区县,市,sum
20210401,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17928231
20210402,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17270103
20210403,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,16736042
20210404,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,15629712
20210405,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,16354304
20210406,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17008180
20210407,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17702209
20210408,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18008630
20210409,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17123657
20210410,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17408260
20210411,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17312135
20210412,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18144949
20210413,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17755362
20210414,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17987625
20210415,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17771546
20210416,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17581164
20210417,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17436946
20210418,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,16568902
20210419,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17380060
20210420,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17512816
20210421,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17613593
20210422,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18075819
20210423,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18252319
20210424,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18224158
20210425,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17351572
20210426,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17600344
20210427,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18202597
20210428,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17938545
20210429,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17165936
20210430,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,16003434
20210501,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,14360805
20210502,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,14489646
20210503,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,15574954
20210504,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,15408333
20210505,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,15086984
20210506,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,15237112
20210507,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,14979194
20210508,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,16298235
20210509,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,14450529
20210510,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,15044032
20210511,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,37488460
20210512,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18291313
20210513,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18214300
20210514,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18085752
20210515,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18288420
20210516,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17869846
20210517,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18060477
20210518,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18340024
20210519,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18411513
20210520,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18405655
20210521,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17440871
20210522,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17176868
20210523,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,16960768
20210524,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,14539018
20210525,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20236211
20210526,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18058779
20210527,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17600964
20210528,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18128608
20210529,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17571626
20210530,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17064770
20210531,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17719455
20210601,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18932548
20210602,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19083013
20210603,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19263067
20210604,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18704867
20210605,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18378831
20210606,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17609813
20210607,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18371049
20210608,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18886965
20210609,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19235559
20210610,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19559385
20210611,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19085801
20210612,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19170136
20210613,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18825936
20210614,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17955287
20210615,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19720922
20210616,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19578849
20210617,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19750840
20210618,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19920732
20210619,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18751314
20210620,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18050092
20210621,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18510111
20210622,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18585537
20210623,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18594245
20210624,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18982996
20210625,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19107775
20210626,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18475621
20210627,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17776455
20210628,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17997932
20210629,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17947443
20210630,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18349006
20210701,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18167847
20210702,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19044562
20210703,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18306215
20210704,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17518915
20210705,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18153662
20210706,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18160775
20210707,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19287334
20210708,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19192840
20210709,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18809737
20210710,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18414218
20210711,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18078917
20210712,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19117921
20210713,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19861430
20210714,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20057179
20210715,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20548596
20210716,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20475298
20210717,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20142937
20210718,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19071462
20210719,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19864303
20210720,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20081256
20210721,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19886623
20210722,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20174605
20210723,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20379450
20210724,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18757182
20210725,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,15991424
20210726,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,14925152
20210727,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,17727088
20210728,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,18837275
20210729,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19684774
20210730,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19637533
20210731,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20195046
20210801,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19443896
20210802,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20232300
20210803,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20672228
20210804,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20046593
20210805,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20276313
20210806,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20413497
20210807,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20245067
20210808,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,19281251
20210809,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20258146
20210810,区级数据,滨海分公司,国网浙江省电力有限公司嘉兴供电公司,20822023
