rq,type,区县,市,sum
20210401,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16336139
20210402,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16151400
20210403,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15686282
20210404,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,14045045
20210405,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15059719
20210406,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15764919
20210407,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16292990
20210408,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16272581
20210409,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15890671
20210410,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15918743
20210411,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15994516
20210412,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16408630
20210413,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16174708
20210414,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16550827
20210415,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16375153
20210416,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16130664
20210417,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16048580
20210418,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15385373
20210419,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15921182
20210420,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16378183
20210421,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16433094
20210422,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16605645
20210423,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16649308
20210424,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16607320
20210425,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15874139
20210426,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15818022
20210427,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16524089
20210428,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16224431
20210429,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15906031
20210430,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15451062
20210501,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,12251042
20210502,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,12235566
20210503,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,13689915
20210504,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15286155
20210505,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15234713
20210506,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15688795
20210507,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16018429
20210508,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16366709
20210509,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16053604
20210510,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17012087
20210511,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17405044
20210512,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17253482
20210513,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16917709
20210514,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16863449
20210515,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17220590
20210516,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16288681
20210517,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,15999229
20210518,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16449324
20210519,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16704508
20210520,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16572923
20210521,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16465136
20210522,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16435250
20210523,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16115022
20210524,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16199893
20210525,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16740642
20210526,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17156557
20210527,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16937829
20210528,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17234280
20210529,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16708586
20210530,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16361217
20210531,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16965993
20210601,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17263898
20210602,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17434649
20210603,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17591703
20210604,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16932270
20210605,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16712584
20210606,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16402519
20210607,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17141791
20210608,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17795390
20210609,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,18343494
20210610,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,18547034
20210611,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,18565952
20210612,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,18279209
20210613,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17490370
20210614,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16018793
20210615,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,18666633
20210616,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,19037744
20210617,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,19072014
20210618,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,18963411
20210619,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17509104
20210620,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,16765306
20210621,区级数据,秀洲分公司,国网浙江省电力有限公司嘉兴供电公司,17036735
