rq,type,区县,市,sum
20210401,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5826409
20210402,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5977684
20210403,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5562407
20210404,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,3856712
20210405,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5103642
20210406,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5809898
20210407,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5932589
20210408,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6076268
20210409,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5858550
20210410,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5875906
20210411,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5828256
20210412,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6095105
20210413,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6131934
20210414,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6097239
20210415,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6027304
20210416,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5850751
20210417,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5775506
20210418,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5456589
20210419,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5790152
20210420,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5927524
20210421,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5916165
20210422,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6120593
20210423,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6014602
20210424,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5949620
20210425,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5688510
20210426,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5832160
20210427,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6031350
20210428,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5970519
20210429,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5771918
20210430,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5020325
20210501,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,2677701
20210502,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,3300643
20210503,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,4749881
20210504,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5532978
20210505,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5668597
20210506,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5821913
20210507,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6045156
20210508,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6021170
20210509,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5659955
20210510,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5892543
20210511,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5892875
20210512,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5944327
20210513,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6005411
20210514,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6054721
20210515,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5825056
20210516,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5432159
20210517,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5957191
20210518,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5915807
20210519,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6009743
20210520,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6012903
20210521,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6018444
20210522,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5928750
20210523,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5568580
20210524,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5851792
20210525,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5860179
20210526,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5856827
20210527,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5979756
20210528,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5905610
20210529,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5680117
20210530,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5420742
20210531,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5412841
20210601,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5636251
20210602,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5961181
20210603,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6100905
20210604,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5986369
20210605,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5913024
20210606,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5428288
20210607,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,5844382
20210608,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6095874
20210609,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6298062
20210610,区级数据,国网台州供电公司台州湾新区供电分公司,国网浙江省电力有限公司台州供电公司,6363028
