rq,type,区县,市,sum
20210401,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1233235
20210402,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1335417
20210403,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1334245
20210404,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1247515
20210405,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1246452
20210406,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1130922
20210407,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1089589
20210408,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1076315
20210409,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1094624
20210410,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1035172
20210411,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1009486
20210412,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1056086
20210413,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1045992
20210414,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1087508
20210415,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1120020
20210416,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1113490
20210417,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1139735
20210418,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,961309
20210419,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,743356
20210420,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,746970
20210421,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1160263
20210422,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1169487
20210423,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1049442
20210424,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1051545
20210425,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1018972
20210426,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1136909
20210427,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1374062
20210428,区级数据,国网台州供电公司营销服务中心,国网浙江省电力有限公司台州供电公司,1102712
