rq,type,区县,市,sum
20210401,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7192355
20210402,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7275331
20210403,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7264678
20210404,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,6635225
20210405,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,6967877
20210406,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7317802
20210407,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7420509
20210408,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7077061
20210409,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7119933
20210410,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7079370
20210411,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7410464
20210412,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7335031
20210413,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7004269
20210414,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7102108
20210415,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,6895508
20210416,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,6954344
20210417,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7003339
20210418,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7158661
20210419,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7448596
20210420,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7349318
20210421,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7361629
20210422,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7416321
20210423,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7352697
20210424,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7515513
20210425,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7506616
20210426,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7268058
20210427,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7242585
20210428,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7267533
20210429,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,6909947
20210430,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7210659
20210501,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,5784849
20210502,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,5773027
20210503,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,6197610
20210504,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7228546
20210505,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7402419
20210506,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7646822
20210507,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7331430
20210508,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7493278
20210509,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7196478
20210510,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7484879
20210511,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7860582
20210512,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7775058
20210513,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7512772
20210514,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7249039
20210515,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7108787
20210516,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,6992330
20210517,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7111546
20210518,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7450357
20210519,区级数据,国网浙江湖州客户服务中心,国网浙江省电力有限公司湖州供电公司,7419258
