rq,type,区县,市,sum
20210401,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34496585
20210402,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34693492
20210403,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,32258090
20210404,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,20096587
20210405,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,30195480
20210406,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,33983783
20210407,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35287327
20210408,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35766644
20210409,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34644720
20210410,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34712148
20210411,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,33726398
20210412,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35535022
20210413,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35292068
20210414,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35785165
20210415,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35493820
20210416,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,33762260
20210417,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,31340692
20210418,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,29425898
20210419,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,33562619
20210420,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34603220
20210421,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34883395
20210422,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35358046
20210423,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35631131
20210424,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35326460
20210425,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,33531490
20210426,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,33974257
20210427,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34787714
20210428,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34455508
20210429,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34297051
20210430,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,32511651
20210501,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,16360825
20210502,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,19396098
20210503,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,27916197
20210504,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,32874862
20210505,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,33268618
20210506,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34187243
20210507,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,34413107
20210508,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35010841
20210509,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,33402805
20210510,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35673558
20210511,区级数据,国网浙江余姚市供电公司,国网浙江省电力有限公司宁波供电公司,35378968
