rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43050327
20210402,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41808968
20210403,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40764039
20210404,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,36211954
20210405,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,39661197
20210406,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,42656169
20210407,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,42419534
20210408,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41836115
20210409,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41976902
20210410,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,42007794
20210411,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40194068
20210412,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41662102
20210413,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41775644
20210414,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41580869
20210415,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40998935
20210416,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40466625
20210417,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40090368
20210418,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,37088247
20210419,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,39350849
20210420,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40148706
20210421,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40763599
20210422,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41554042
20210423,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41670647
20210424,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40317861
20210425,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,39403696
20210426,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,39889299
20210427,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40404383
20210428,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40393661
20210429,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,39232388
20210430,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,39332683
20210501,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,31962031
20210502,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,32537581
20210503,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,35889145
20210504,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,39602562
20210505,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40558688
20210506,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,39850808
20210507,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41230526
20210508,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41661279
20210509,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40465715
20210510,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,42649299
20210511,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43728422
20210512,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43770198
20210513,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43974234
20210514,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,44576098
20210515,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,45768663
20210516,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43316285
20210517,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43287630
20210518,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43927951
20210519,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43900915
20210520,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43699511
20210521,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43124941
20210522,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,42062264
20210523,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40075003
20210524,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41464625
20210525,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43382673
20210526,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43521304
20210527,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43753790
20210528,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,44028306
20210529,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43556621
20210530,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41184605
20210531,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43086976
20210601,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43350543
20210602,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,44717723
20210603,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,45413873
20210604,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43534877
20210605,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,44031831
20210606,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40970614
20210607,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43259102
20210608,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,45959720
20210609,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,46279572
20210610,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,47525152
20210611,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,47771001
20210612,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,45497774
20210613,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,41447719
20210614,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,37617156
20210615,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,45072526
20210616,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,46782652
20210617,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,46203910
20210618,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,46645045
20210619,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,44234516
20210620,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,40488735
20210621,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,43295177
20210622,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,44766732
20210623,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,44636470
20210624,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,45835691
20210625,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,46370021
20210626,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,45973636
20210627,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,42417079
20210628,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,47965183
20210629,区级数据,国网浙江省电力有限公司宁波市北仑区供电公司,国网浙江省电力有限公司宁波供电公司,46563104
