rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11492515
20210402,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11539373
20210403,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,10480564
20210404,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,6982868
20210405,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,9850424
20210406,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11337382
20210407,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11566896
20210408,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11930658
20210409,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11619329
20210410,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11401296
20210411,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,10572409
20210412,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11472004
20210413,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11695235
20210414,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11678841
20210415,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11977102
20210416,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11546920
20210417,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11369708
20210418,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,9880165
20210419,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11147383
20210420,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11351786
20210421,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11347382
20210422,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11562576
20210423,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11920078
20210424,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11705393
20210425,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,10804875
20210426,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11332993
20210427,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11690525
20210428,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11741463
20210429,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11477355
20210430,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,10880908
20210501,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,6076631
20210502,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,6410033
20210503,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,9296442
20210504,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11084725
20210505,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11130159
20210506,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11377545
20210507,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11702425
20210508,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11904428
20210509,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,10863116
20210510,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12262632
20210511,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12271984
20210512,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12200443
20210513,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12044590
20210514,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12501127
20210515,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12629331
20210516,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11190187
20210517,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11604048
20210518,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11818503
20210519,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11742498
20210520,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11759305
20210521,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11616743
20210522,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11457275
20210523,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,10124317
20210524,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11303091
20210525,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11920041
20210526,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11867471
20210527,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11888628
20210528,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12242760
20210529,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11639125
20210530,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,9942118
20210531,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11454043
20210601,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11882958
20210602,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12068378
20210603,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12507287
20210604,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11634284
20210605,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11285341
20210606,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,9968980
20210607,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11501217
20210608,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12385109
20210609,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12853917
20210610,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,13045626
20210611,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,13298457
20210612,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12809986
20210613,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,10266160
20210614,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,7970676
20210615,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12417448
20210616,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,13871270
20210617,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,13720010
20210618,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,13700286
20210619,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12210072
20210620,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,10653284
20210621,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,11775185
20210622,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12116063
20210623,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12335313
20210624,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12752900
20210625,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,13010653
20210626,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12786732
20210627,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,10801864
20210628,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12679732
20210629,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12921238
20210630,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12660272
20210701,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,12549854
20210702,区级数据,国网浙江省电力有限公司宁波市奉化区供电公司,国网浙江省电力有限公司宁波供电公司,13104322
