rq,type,区县,市,sum
20210401,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38011685
20210402,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38424598
20210403,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,35867894
20210404,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,22705767
20210405,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,34030357
20210406,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37765052
20210407,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38967362
20210408,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39572211
20210409,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38886206
20210410,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38900774
20210411,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37974125
20210412,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39130662
20210413,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39208618
20210414,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39776293
20210415,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39749382
20210416,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38440344
20210417,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37989496
20210418,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,36075378
20210419,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37883365
20210420,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38354680
20210421,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38401273
20210422,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38540162
20210423,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39145774
20210424,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39032826
20210425,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37273686
20210426,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37916355
20210427,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39001344
20210428,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38344943
20210429,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37729596
20210430,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,34910735
20210501,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,17302545
20210502,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,21106145
20210503,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,31132806
20210504,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,36469286
20210505,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,36953591
20210506,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37755270
20210507,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38360862
20210508,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39044563
20210509,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37669243
20210510,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,40017359
20210511,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39940291
20210512,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39650749
20210513,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39334491
20210514,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,40439516
20210515,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,41507894
20210516,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38298148
20210517,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38092167
20210518,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38208389
20210519,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38727068
20210520,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38798835
20210521,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38682221
20210522,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38268925
20210523,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,36497179
20210524,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37872230
20210525,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38934351
20210526,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39190645
20210527,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39274539
20210528,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39815273
20210529,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39113809
20210530,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,36258828
20210531,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38030804
20210601,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37773734
20210602,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39163572
20210603,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,40375464
20210604,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38788365
20210605,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38340808
20210606,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,36453666
20210607,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38948700
20210608,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,40668728
20210609,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,41755648
20210610,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,41937907
20210611,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,41875308
20210612,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,41294116
20210613,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,36135081
20210614,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,24009002
20210615,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39843264
20210616,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,42580939
20210617,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,43009194
20210618,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,42454982
20210619,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39856513
20210620,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,37018179
20210621,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,38436490
20210622,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39979518
20210623,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,40482261
20210624,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,41334195
20210625,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,42272528
20210626,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,42121277
20210627,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39196898
20210628,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,41173077
20210629,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,41525562
20210630,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,40368483
20210701,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,39341954
20210702,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,41601874
20210703,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,42703314
20210704,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,40444207
20210705,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,44783893
20210706,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,46224288
20210707,区级数据,国网浙江慈溪市供电有限公司,国网浙江省电力有限公司宁波供电公司,47621680
