rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11812462
20210402,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11599272
20210403,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,10535496
20210404,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,7787813
20210405,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,9495915
20210406,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,10980094
20210407,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11783365
20210408,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11895275
20210409,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11171736
20210410,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,10973071
20210411,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,10873301
20210412,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12163918
20210413,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11709772
20210414,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12066530
20210415,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11993991
20210416,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11524073
20210417,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11244220
20210418,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,9969230
20210419,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,10917204
20210420,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11525168
20210421,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11580609
20210422,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11968625
20210423,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12323486
20210424,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11904455
20210425,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11110970
20210426,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11369720
20210427,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12581939
20210428,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11999228
20210429,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11366211
20210430,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,10468573
20210501,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,7012095
20210502,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,7176939
20210503,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,9016929
20210504,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11012639
20210505,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,10788893
20210506,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11509369
20210507,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11706884
20210508,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11971768
20210509,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11060893
20210510,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12128204
20210511,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12712742
20210512,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12362117
20210513,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12130173
20210514,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12755153
20210515,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12916145
20210516,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11320853
20210517,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12009830
20210518,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12379727
20210519,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12450421
20210520,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12409335
20210521,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12042601
20210522,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11896566
20210523,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11368543
20210524,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11622089
20210525,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12282211
20210526,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,13031460
20210527,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12714303
20210528,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,13057574
20210529,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12179709
20210530,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,10920783
20210531,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11399597
20210601,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12180148
20210602,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12365812
20210603,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12631203
20210604,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12189589
20210605,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11308910
20210606,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,10699069
20210607,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,11801993
20210608,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,12577449
20210609,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,14740240
20210610,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,13820640
20210611,区级数据,国网浙江省电力有限公司宁波市杭湾区供电公司,国网浙江省电力有限公司宁波供电公司,13362241
