rq,type,区县,市,sum
20210401,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9060429
20210402,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9129597
20210403,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8510374
20210404,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,6955483
20210405,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8029199
20210406,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8872023
20210407,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9136521
20210408,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9342728
20210409,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9099943
20210410,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8904909
20210411,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8659124
20210412,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9170470
20210413,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9343925
20210414,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9401741
20210415,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9437531
20210416,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9128183
20210417,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8773481
20210418,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,7908343
20210419,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8636868
20210420,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8942684
20210421,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9057243
20210422,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9199797
20210423,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9353656
20210424,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8999856
20210425,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8761497
20210426,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8904004
20210427,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9274678
20210428,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9242804
20210429,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9051746
20210430,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8761235
20210501,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,6611489
20210502,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,6587932
20210503,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,7626507
20210504,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8611316
20210505,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8545353
20210506,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8924634
20210507,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9171061
20210508,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9423454
20210509,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9110525
20210510,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10181634
20210511,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10005648
20210512,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9858455
20210513,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9970738
20210514,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10545202
20210515,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10740082
20210516,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9905196
20210517,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9279944
20210518,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9370689
20210519,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9421809
20210520,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9438342
20210521,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9354946
20210522,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9084082
20210523,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8619547
20210524,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9061598
20210525,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9648481
20210526,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9700939
20210527,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9779702
20210528,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10105367
20210529,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9648030
20210530,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8908286
20210531,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9494756
20210601,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9702939
20210602,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9932112
20210603,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10372657
20210604,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9530636
20210605,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9332276
20210606,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8879185
20210607,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9760390
20210608,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10541574
20210609,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,11085785
20210610,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,11288996
20210611,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,11316006
20210612,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10793158
20210613,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9552244
20210614,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,8851780
20210615,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,11566392
20210616,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,11812985
20210617,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,11956509
20210618,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,11762723
20210619,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10236341
20210620,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9196467
20210621,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,9975654
20210622,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10428322
20210623,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10592097
20210624,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,10892967
20210625,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,11212000
20210626,区级数据,国网宁波市江北供电分公司,国网浙江省电力有限公司宁波供电公司,11083526
