rq,type,区县,市,sum
20210401,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13572233
20210402,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13370163
20210403,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,12249873
20210404,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,9134092
20210405,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,12004930
20210406,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13126195
20210407,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13538574
20210408,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13917255
20210409,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13719182
20210410,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13378910
20210411,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,12817131
20210412,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13449890
20210413,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13736519
20210414,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14017986
20210415,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14045753
20210416,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13783959
20210417,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13407245
20210418,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,12268578
20210419,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13221570
20210420,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13588054
20210421,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13604080
20210422,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13722189
20210423,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13779023
20210424,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13448123
20210425,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13003148
20210426,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13341230
20210427,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13665013
20210428,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13683380
20210429,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13547731
20210430,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13188660
20210501,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,8824048
20210502,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,9042390
20210503,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,11372291
20210504,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,12917281
20210505,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13004939
20210506,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13369379
20210507,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13912343
20210508,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14432368
20210509,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13971731
20210510,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,15603113
20210511,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,15199733
20210512,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14967531
20210513,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14931913
20210514,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,15883756
20210515,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,16720639
20210516,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,15199128
20210517,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13784395
20210518,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13911912
20210519,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13711557
20210520,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13830870
20210521,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13725815
20210522,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13390590
20210523,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,12500353
20210524,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13514152
20210525,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14322934
20210526,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14116509
20210527,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14411222
20210528,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14916920
20210529,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14414598
20210530,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13282714
20210531,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14365333
20210601,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14529371
20210602,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14752633
20210603,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,15552031
20210604,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13882118
20210605,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13868962
20210606,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13260974
20210607,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14663077
20210608,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,15949694
20210609,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,16898159
20210610,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,17182957
20210611,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,17367997
20210612,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,16693054
20210613,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,14185021
20210614,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,12134227
20210615,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,17768039
20210616,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,18251300
20210617,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,18296633
20210618,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,17878079
20210619,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,15168338
20210620,区级数据,国网宁波市海曙供电分公司,国网浙江省电力有限公司宁波供电公司,13445280
