rq,type,区县,市,sum
20210401,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7526168
20210402,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7382386
20210403,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7402291
20210404,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,6234598
20210405,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,6768780
20210406,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7341599
20210407,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7537082
20210408,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7770690
20210409,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7336697
20210410,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7395224
20210411,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7217182
20210412,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7568968
20210413,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7873171
20210414,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7918686
20210415,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7903480
20210416,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7835187
20210417,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7700235
20210418,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7225017
20210419,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7438152
20210420,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7703448
20210421,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7908380
20210422,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7850982
20210423,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7695890
20210424,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7620274
20210425,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7612304
20210426,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7495154
20210427,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7676806
20210428,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7773163
20210429,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7715343
20210430,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7325820
20210501,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,5386189
20210502,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,5241200
20210503,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,6098230
20210504,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7109719
20210505,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,6965638
20210506,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7079169
20210507,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7276795
20210508,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7569666
20210509,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,6976976
20210510,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7441081
20210511,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7631739
20210512,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7762328
20210513,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7627529
20210514,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7717210
20210515,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7948797
20210516,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7685496
20210517,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7298122
20210518,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7467278
20210519,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7294918
20210520,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7339485
20210521,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7262865
20210522,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7225170
20210523,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,6812261
20210524,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7023561
20210525,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7234774
20210526,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7310432
20210527,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7334082
20210528,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7594448
20210529,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7404753
20210530,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,6922356
20210531,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7020954
20210601,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7545793
20210602,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7566397
20210603,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7694579
20210604,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7084762
20210605,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7248232
20210606,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,6688021
20210607,区级数据,国网浙江象山县供电有限公司,国网浙江省电力有限公司宁波供电公司,7172865
