rq,type,区县,市,sum
20210401,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25617564
20210402,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25421957
20210403,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,23197269
20210404,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,17425029
20210405,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,22374675
20210406,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25214323
20210407,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25859571
20210408,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,26593815
20210409,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,26115122
20210410,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25384419
20210411,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,24126511
20210412,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,26125780
20210413,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,26656090
20210414,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,26812462
20210415,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,27015651
20210416,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,26216347
20210417,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25263025
20210418,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,22627308
20210419,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25303549
20210420,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25811219
20210421,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25766315
20210422,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,26191878
20210423,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,26625257
20210424,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25760650
20210425,区级数据,国网浙江宁波市鄞州区供电公司,国网浙江省电力有限公司宁波供电公司,25127270
