rq,type,区县,市,sum
20210401,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24631895
20210402,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23984797
20210403,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23752594
20210404,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,20313911
20210405,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,21879207
20210406,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23426837
20210407,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24757216
20210408,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25263634
20210409,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24964153
20210410,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24870406
20210411,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23902432
20210412,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25231214
20210413,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25339439
20210414,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25480789
20210415,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24274322
20210416,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24039065
20210417,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23454858
20210418,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,21677846
20210419,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24262993
20210420,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25349252
20210421,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25517622
20210422,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25520428
20210423,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25328392
20210424,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24715435
20210425,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23822948
20210426,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24544402
20210427,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25424696
20210428,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25468178
20210429,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25041589
20210430,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24835296
20210501,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,20892578
20210502,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,20940742
20210503,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23363846
20210504,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24838401
20210505,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25014156
20210506,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25544291
20210507,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26230525
20210508,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26373069
20210509,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25388723
20210510,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26645262
20210511,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25677004
20210512,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25534278
20210513,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25343671
20210514,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25805089
20210515,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26507787
20210516,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23983727
20210517,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24139133
20210518,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24165969
20210519,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24171040
20210520,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24207032
20210521,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23396470
20210522,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,22848159
20210523,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,21508164
20210524,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,22991138
20210525,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23484723
20210526,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23349648
20210527,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23774802
20210528,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24674915
20210529,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24008586
20210530,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,22309640
20210531,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24266573
20210601,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25627045
20210602,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25558757
20210603,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25866893
20210604,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25158972
20210605,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25002989
20210606,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23695432
20210607,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26158078
20210608,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27568588
20210609,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,29151421
20210610,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27896983
20210611,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25260100
20210612,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23320036
20210613,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,21393500
20210614,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,19244158
20210615,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23607438
20210616,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24088360
20210617,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24554740
20210618,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24493867
20210619,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23412264
20210620,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,21714628
20210621,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,22850582
20210622,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23625842
20210623,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24154526
20210624,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24574395
20210625,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24986429
20210626,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24329239
20210627,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,21233872
20210628,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23754928
20210629,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24439923
20210630,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24325169
20210701,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24188067
20210702,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24492338
20210703,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24780325
20210704,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23453602
20210705,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25709367
20210706,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,29598189
20210707,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,30264445
20210708,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,29784447
20210709,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,29732134
20210710,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28698953
20210711,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27085144
20210712,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,29371223
20210713,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,29537650
20210714,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,29232720
20210715,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,29592699
20210716,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,29595632
20210717,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28458904
20210718,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26031525
20210719,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28269908
20210720,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28389391
20210721,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27698660
20210722,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27282284
20210723,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26376381
20210724,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25292958
20210725,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,19651612
20210726,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,21578329
20210727,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24980520
20210728,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26156620
20210729,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26943012
20210730,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26661941
20210731,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27390669
20210801,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25037984
20210802,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26447812
20210803,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26982075
20210804,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27159076
20210805,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27278549
20210806,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27759407
20210807,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27139870
20210808,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25108717
20210809,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27334488
20210810,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27883119
20210811,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27382724
20210812,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27218219
20210813,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27016720
20210814,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25548443
20210815,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24172152
20210816,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26183377
20210817,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26218885
20210818,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26669270
20210819,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26817933
20210820,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27698213
20210821,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27047054
20210822,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24630826
20210823,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27551318
20210824,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28476545
20210825,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27881014
20210826,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28588608
20210827,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28395199
20210828,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28289554
20210829,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26718694
20210830,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28538034
20210831,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28800845
20210901,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28847693
20210902,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28554306
20210903,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27953806
20210904,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27765347
20210905,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26171370
20210906,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28396187
20210907,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27752793
20210908,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27299837
20210909,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27811377
20210910,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28586622
20210911,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28526539
20210912,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,25849997
20210913,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24887853
20210914,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27433439
20210915,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27850497
20210916,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27544920
20210917,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27487499
20210918,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27455433
20210919,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27731491
20210920,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27551603
20210921,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,23765793
20210922,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27461475
20210923,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28416861
20210924,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27865909
20210925,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27202082
20210926,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26905253
20210927,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,28171746
20210928,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,27154470
20210929,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,26406450
20210930,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24256456
20211001,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,19601583
20211002,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,19378927
20211003,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,20528436
20211004,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,22901855
20211005,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24123587
20211006,区级数据,国网浙江省电力有限公司宁波市镇海区供电公司,国网浙江省电力有限公司宁波供电公司,24656304
