rq,type,区县,市,sum
20220511,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220512,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220513,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220514,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220515,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220516,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220517,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220518,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220519,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220520,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220521,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220522,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220523,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220524,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220525,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220526,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220527,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220528,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220529,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220530,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220531,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220601,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220602,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220603,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220604,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220605,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220606,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220607,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220608,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220609,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220610,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220611,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220612,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220613,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220614,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220615,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220616,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
20220617,区级数据,建德供电局(作废),国网浙江省电力有限公司金华供电公司,0
