rq,type,区县,市,sum
20210401,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10527054
20210402,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10512852
20210403,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,9772177
20210404,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,9583114
20210405,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,9770533
20210406,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10419274
20210407,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10676698
20210408,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11099533
20210409,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10813743
20210410,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10174034
20210411,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10142955
20210412,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10832341
20210413,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10679502
20210414,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11016281
20210415,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10844816
20210416,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10745425
20210417,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10092240
20210418,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,9879475
20210419,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10383965
20210420,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10465150
20210421,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10629232
20210422,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10679558
20210423,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10787608
20210424,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10237259
20210425,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10502249
20210426,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10659990
20210427,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10610933
20210428,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10695420
20210429,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10809215
20210430,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11191013
20210501,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10212890
20210502,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,9946603
20210503,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10294810
20210504,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10374413
20210505,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10227766
20210506,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10835601
20210507,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11954593
20210508,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12489270
20210509,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12462549
20210510,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,15035652
20210511,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,13591575
20210512,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,13425586
20210513,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12753337
20210514,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,14639623
20210515,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,14838214
20210516,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12993518
20210517,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11271587
20210518,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11311410
20210519,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11179399
20210520,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11427197
20210521,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11733318
20210522,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10926543
20210523,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,10381367
20210524,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,11688080
20210525,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12851903
20210526,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12329816
20210527,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,13017634
20210528,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,13366955
20210529,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12680158
20210530,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,13033986
20210531,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,14352267
20210601,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,13590466
20210602,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,13835042
20210603,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,14144662
20210604,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12142073
20210605,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12127472
20210606,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,12577860
20210607,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,14286745
20210608,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,15490964
20210609,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,16596683
20210610,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,15909995
20210611,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,16584631
20210612,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,15185024
20210613,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,13552251
20210614,区级数据,上城供电分公司,国网浙江省电力有限公司杭州供电公司,14832420
