rq,type,区县,市,sum
20210401,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11430725
20210402,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11580941
20210403,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,10442496
20210404,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,8555620
20210405,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,10363096
20210406,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11212179
20210407,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11924254
20210408,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,12148745
20210409,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11490659
20210410,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11510485
20210411,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11073376
20210412,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11774921
20210413,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11801524
20210414,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,12211633
20210415,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11616256
20210416,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11782114
20210417,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11395500
20210418,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,10496766
20210419,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11167515
20210420,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11582189
20210421,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11539925
20210422,区级数据,国网浙江杭州市临安区供电公司,国网浙江省电力有限公司杭州供电公司,11666022
