rq,type,区县,市,sum
20211028,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,9876636
20211029,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14553894
20211030,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14106852
20211031,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,13845722
20211101,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14181129
20211102,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14886670
20211103,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14928128
20211104,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15090668
20211105,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15103907
20211106,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15182780
20211107,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14530669
20211108,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15475824
20211109,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15946379
20211110,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15877922
20211111,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15758074
20211112,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15659694
20211113,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15368981
20211114,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14071583
20211115,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14937720
20211116,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15616363
20211117,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15898595
20211118,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15810071
20211119,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15688007
20211120,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15162070
20211121,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14391739
20211122,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15973129
20211123,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16717946
20211124,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16733744
20211125,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16447681
20211126,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16315645
20211127,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16062695
20211128,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,14957065
20211129,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16009632
20211130,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16598265
20211201,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17079901
20211202,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17331477
20211203,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17111853
20211204,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16757664
20211205,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15339242
20211206,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16312235
20211207,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16772032
20211208,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16815748
20211209,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16630466
20211210,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16483027
20211211,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16170894
20211212,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,15915451
20211213,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16811188
20211214,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17941587
20211215,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17106457
20211216,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17412318
20211217,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17505496
20211218,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17826556
20211219,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,16264945
20211220,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17156245
20211221,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17059125
20211222,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17018778
20211223,区级数据,国网浙江杭州市临平区供电有限公司,国网浙江省电力有限公司杭州供电公司,17145279
