rq,type,区县,市,sum
20210401,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30447960
20210402,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29326025
20210403,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,26761791
20210404,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,22434625
20210405,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,26291387
20210406,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,28630649
20210407,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30046585
20210408,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30697020
20210409,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29742066
20210410,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29075892
20210411,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,28511782
20210412,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30052594
20210413,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29901221
20210414,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30684517
20210415,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30086419
20210416,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29803675
20210417,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,28736305
20210418,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,26225015
20210419,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,28288544
20210420,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29136980
20210421,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29216268
20210422,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29662470
20210423,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29939743
20210424,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29097704
20210425,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,28136655
20210426,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,28946157
20210427,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29934619
20210428,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29556904
20210429,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29123000
20210430,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,28479317
20210501,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,21227841
20210502,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,20983823
20210503,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,24309173
20210504,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,27147416
20210505,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,27605313
20210506,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29053287
20210507,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30432686
20210508,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,31415095
20210509,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30747777
20210510,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,35608318
20210511,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,34034892
20210512,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,33227377
20210513,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,32009803
20210514,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,34546271
20210515,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,36477642
20210516,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30782866
20210517,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29291584
20210518,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29797984
20210519,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29876696
20210520,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29716747
20210521,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30253468
20210522,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29563786
20210523,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,27287906
20210524,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,29849315
20210525,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,32162918
20210526,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,31588696
20210527,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,32074139
20210528,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,32854188
20210529,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,32623608
20210530,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,31373793
20210531,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,34413850
20210601,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,33200944
20210602,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,32796016
20210603,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,33241822
20210604,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30292764
20210605,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30802654
20210606,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,30511908
20210607,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,34569471
20210608,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,37283515
20210609,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,39249077
20210610,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,38397582
20210611,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,39493045
20210612,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,38083523
20210613,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,32069786
20210614,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,31118526
20210615,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,41100140
20210616,区级数据,国网浙江杭州市余杭区供电有限公司,国网浙江省电力有限公司杭州供电公司,40990573
