rq,type,区县,市,sum
20210401,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13535542
20210402,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13682963
20210403,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,12822916
20210404,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,11170242
20210405,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,12644190
20210406,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13146335
20210407,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13707424
20210408,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,14160176
20210409,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13740499
20210410,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13595064
20210411,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13399745
20210412,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13762395
20210413,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13531466
20210414,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13904183
20210415,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13706468
20210416,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13472084
20210417,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13254891
20210418,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,12645374
20210419,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,12939568
20210420,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13315047
20210421,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13381470
20210422,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13482249
20210423,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13767847
20210424,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13522574
20210425,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13066600
20210426,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13490167
20210427,区级数据,国网浙江杭州市富阳区供电公司,国网浙江省电力有限公司杭州供电公司,13588777
