rq,type,区县,市,sum
20210401,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8111602
20210402,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8211749
20210403,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8125025
20210404,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,7374214
20210405,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,7939406
20210406,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,7954187
20210407,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8279653
20210408,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8488102
20210409,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8283782
20210410,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8275269
20210411,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8190406
20210412,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8139202
20210413,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8098203
20210414,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8320842
20210415,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8253234
20210416,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8207889
20210417,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8107740
20210418,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8013390
20210419,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8228242
20210420,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8155335
20210421,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8382050
20210422,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8364756
20210423,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8059351
20210424,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8281789
20210425,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8355625
20210426,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8445224
20210427,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8597754
20210428,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8442946
20210429,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8308340
20210430,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,7934719
20210501,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,6752633
20210502,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,6946875
20210503,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,7520237
20210504,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,7883715
20210505,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,7729626
20210506,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8125257
20210507,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8265738
20210508,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8532779
20210509,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8399603
20210510,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8637827
20210511,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8426505
20210512,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8743085
20210513,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8863086
20210514,区级数据,国网浙江建德市供电有限公司,国网浙江省电力有限公司杭州供电公司,8987519
