rq,type,区县,市,sum
20210401,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13801196
20210402,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13630369
20210403,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,12663420
20210404,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,12297264
20210405,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,12981916
20210406,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13676091
20210407,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14094052
20210408,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14559937
20210409,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14250864
20210410,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13738841
20210411,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13780849
20210412,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14153522
20210413,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14032438
20210414,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14514227
20210415,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14284761
20210416,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14031774
20210417,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13384987
20210418,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13187252
20210419,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13642470
20210420,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13718104
20210421,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13789896
20210422,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13728737
20210423,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13926076
20210424,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13628274
20210425,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13730466
20210426,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13807513
20210427,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13818916
20210428,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13861969
20210429,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13849749
20210430,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14144083
20210501,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,12740844
20210502,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,12194714
20210503,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,12666191
20210504,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,12945446
20210505,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13210947
20210506,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13869883
20210507,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14977913
20210508,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,15676255
20210509,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,16391512
20210510,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,19281506
20210511,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,17165333
20210512,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,16801423
20210513,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,15874144
20210514,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,18223179
20210515,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,19438034
20210516,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,16938313
20210517,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14385841
20210518,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14321894
20210519,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14185793
20210520,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14421980
20210521,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14754517
20210522,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14092607
20210523,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,13523814
20210524,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,14783685
20210525,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,16264924
20210526,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,15490665
20210527,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,16293942
20210528,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,16810045
20210529,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,16752822
20210530,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,17367174
20210531,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,18395576
20210601,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,17261656
20210602,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,17249167
20210603,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,17520598
20210604,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,15236509
20210605,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,15725759
20210606,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,16578896
20210607,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,18365742
20210608,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,19903161
20210609,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,21326113
20210610,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,20586904
20210611,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,21701173
20210612,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,20451801
20210613,区级数据,拱墅供电分公司,国网浙江省电力有限公司杭州供电公司,17740276
