rq,type,区县,市,sum
20210401,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6089025
20210402,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6161756
20210403,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,5792835
20210404,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,4663837
20210405,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,5591933
20210406,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,5932512
20210407,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6340838
20210408,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6618227
20210409,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6296462
20210410,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6190222
20210411,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6201881
20210412,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6401045
20210413,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6314375
20210414,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6575493
20210415,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6336479
20210416,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6252857
20210417,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6074145
20210418,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,5725599
20210419,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,5938177
20210420,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6122673
20210421,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6172567
20210422,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6243803
20210423,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6235157
20210424,区级数据,国网浙江桐庐县供电公司,国网浙江省电力有限公司杭州供电公司,6142586
