rq,type,区县,市,sum
20210401,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3751496
20210402,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3811773
20210403,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3666142
20210404,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3378896
20210405,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3524519
20210406,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3767826
20210407,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3950581
20210408,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,4146178
20210409,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3973671
20210410,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3845592
20210411,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3823889
20210412,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3816685
20210413,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3814370
20210414,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3934873
20210415,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3943238
20210416,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3939773
20210417,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3801896
20210418,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3727263
20210419,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3611512
20210420,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3431786
20210421,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3457386
20210422,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3680777
20210423,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3708706
20210424,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3671645
20210425,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3673160
20210426,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3661592
20210427,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3397036
20210428,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3442271
20210429,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3454542
20210430,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3394939
20210501,区级数据,国网浙江淳安县供电有限公司,国网浙江省电力有限公司杭州供电公司,3050421
