rq,type,区县,市,sum
20210401,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8488134
20210402,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8338983
20210403,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,7438596
20210404,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,7028554
20210405,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,7513274
20210406,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8273578
20210407,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8617323
20210408,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8747261
20210409,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8456769
20210410,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8056220
20210411,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8014408
20210412,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8623170
20210413,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8578634
20210414,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8797917
20210415,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8652166
20210416,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8536095
20210417,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8019217
20210418,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,7679785
20210419,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8243634
20210420,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8443523
20210421,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8551739
20210422,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8589240
20210423,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8593796
20210424,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8117837
20210425,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8404956
20210426,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8518184
20210427,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8543188
20210428,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8565500
20210429,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8565108
20210430,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8497284
20210501,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,6884809
20210502,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,6661284
20210503,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,7138370
20210504,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,7417336
20210505,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,7684139
20210506,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8556134
20210507,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9374945
20210508,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9719186
20210509,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9369018
20210510,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11463421
20210511,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10395118
20210512,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10330283
20210513,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9957345
20210514,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11082911
20210515,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11081873
20210516,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9588985
20210517,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8830219
20210518,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8942420
20210519,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8898836
20210520,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9039183
20210521,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9144946
20210522,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8521986
20210523,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,7869860
20210524,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9091492
20210525,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10000250
20210526,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9740597
20210527,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10008063
20210528,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10177644
20210529,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9660012
20210530,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9569529
20210531,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10947005
20210601,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10425999
20210602,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10769599
20210603,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10653106
20210604,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9377735
20210605,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9294117
20210606,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9313698
20210607,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10981879
20210608,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11864106
20210609,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12586221
20210610,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11993290
20210611,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12472275
20210612,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11036971
20210613,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9640994
20210614,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10419516
20210615,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,13805445
20210616,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,13224636
20210617,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,13382887
20210618,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12520140
20210619,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9729696
20210620,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,8973432
20210621,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,10391208
20210622,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11003067
20210623,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11570535
20210624,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12146337
20210625,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12430811
20210626,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11790555
20210627,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11131317
20210628,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12519824
20210629,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12735594
20210630,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12528319
20210701,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12240989
20210702,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11905602
20210703,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11976514
20210704,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12121739
20210705,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,15122932
20210706,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,15333149
20210707,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,16173379
20210708,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,15326578
20210709,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,13836023
20210710,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12979031
20210711,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,13782408
20210712,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,16397371
20210713,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,16696534
20210714,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,17407932
20210715,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,17304536
20210716,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,16724061
20210717,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,14824119
20210718,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,13665071
20210719,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,15455234
20210720,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,15760433
20210721,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,15013004
20210722,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,14613270
20210723,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,13923100
20210724,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11452279
20210725,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,9896286
20210726,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,11174315
20210727,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12015297
20210728,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,13321798
20210729,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,14544978
20210730,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,14349993
20210731,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12944347
20210801,区级数据,滨江供电分公司,国网浙江省电力有限公司杭州供电公司,12266906
