rq,type,区县,市,sum
20210401,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8967495
20210402,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8810616
20210403,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8204301
20210404,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,7962877
20210405,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8443827
20210406,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8742755
20210407,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,9027215
20210408,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,9359064
20210409,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,9090812
20210410,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8754143
20210411,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8836151
20210412,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,9113670
20210413,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8983539
20210414,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,9307396
20210415,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,9115114
20210416,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8979310
20210417,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8556458
20210418,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8467224
20210419,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8705754
20210420,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8774379
20210421,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8802864
20210422,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8805782
20210423,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8805193
20210424,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8578639
20210425,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8666281
20210426,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8722317
20210427,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8705054
20210428,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8751339
20210429,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8749733
20210430,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8806136
20210501,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,7834812
20210502,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,7566681
20210503,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,7918552
20210504,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8023604
20210505,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8216815
20210506,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,8778091
20210507,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,9471940
20210508,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,9870878
20210509,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,10297514
20210510,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,12023643
20210511,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,10764881
20210512,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,10495843
20210513,区级数据,西湖供电分公司,国网浙江省电力有限公司杭州供电公司,10054917
