rq,type,区县,市,sum
20210401,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24305107
20210402,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24110820
20210403,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,22125712
20210404,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,19643472
20210405,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,21327256
20210406,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23285935
20210407,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24411545
20210408,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24731087
20210409,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24361754
20210410,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23822441
20210411,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23231684
20210412,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24404624
20210413,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24648740
20210414,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25008295
20210415,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24723411
20210416,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24418053
20210417,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23689864
20210418,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,22408083
20210419,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23465657
20210420,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24159913
20210421,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24180513
20210422,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24243803
20210423,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24399491
20210424,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23986086
20210425,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23698761
20210426,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24095846
20210427,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24741851
20210428,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24546470
20210429,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24132113
20210430,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23270328
20210501,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,18103208
20210502,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,18065110
20210503,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,20268918
20210504,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,22247718
20210505,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,22905796
20210506,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23978141
20210507,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25388469
20210508,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26156617
20210509,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25813610
20210510,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,28391910
20210511,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,27622718
20210512,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,27129533
20210513,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26334803
20210514,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,28289403
20210515,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29004718
20210516,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26224727
20210517,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24974269
20210518,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25500305
20210519,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25510508
20210520,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25268783
20210521,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25273686
20210522,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24608254
20210523,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,23659939
20210524,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25037716
20210525,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26719013
20210526,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26716835
20210527,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26813790
20210528,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,27363661
20210529,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26585439
20210530,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26004203
20210531,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,27426409
20210601,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,27544675
20210602,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,27604738
20210603,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,28109062
20210604,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26222835
20210605,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26067953
20210606,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25875457
20210607,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,27850586
20210608,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29520075
20210609,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30891728
20210610,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30412587
20210611,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,31095132
20210612,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29807675
20210613,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26331613
20210614,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24969456
20210615,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,31144690
20210616,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,31903367
20210617,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32214830
20210618,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,31137153
20210619,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26917763
20210620,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,25386598
20210621,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26686463
20210622,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,28135291
20210623,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29004984
20210624,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30062325
20210625,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30614809
20210626,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30126407
20210627,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,28967036
20210628,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30542244
20210629,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30607109
20210630,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30439180
20210701,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30286876
20210702,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30618470
20210703,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30813296
20210704,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30112215
20210705,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34287557
20210706,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35320910
20210707,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,36756703
20210708,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35447410
20210709,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,33051208
20210710,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32349820
20210711,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,33195213
20210712,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,37053626
20210713,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,38432607
20210714,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,39009640
20210715,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,38792966
20210716,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,37634260
20210717,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35359846
20210718,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,33123706
20210719,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35000109
20210720,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,36322285
20210721,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34860380
20210722,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34352486
20210723,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,33206734
20210724,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29736234
20210725,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,24764804
20210726,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26185557
20210727,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29083439
20210728,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,31810488
20210729,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,33792556
20210730,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,33571962
20210731,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32449394
20210801,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,31097736
20210802,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34074723
20210803,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34628743
20210804,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34338490
20210805,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34073303
20210806,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34545401
20210807,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,33101433
20210808,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,31383031
20210809,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34139517
20210810,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34002244
20210811,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32735375
20210812,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32513300
20210813,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30868035
20210814,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,27905352
20210815,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,26858464
20210816,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,28751299
20210817,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30307336
20210818,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,30883540
20210819,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32070300
20210820,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,33250316
20210821,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32763492
20210822,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32131532
20210823,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35325269
20210824,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35891358
20210825,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34491409
20210826,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35424542
20210827,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34949938
20210828,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34567396
20210829,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34002682
20210830,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,36296624
20210831,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,36570870
20210901,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,37355878
20210902,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,36843853
20210903,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35749049
20210904,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35570041
20210905,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,34189871
20210906,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,35107823
20210907,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32274549
20210908,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,31311687
20210909,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32604299
20210910,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,32755598
20210911,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,31881281
20210912,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29342610
20210913,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29003663
20210914,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29270407
20210915,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,28821986
20210916,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29121367
20210917,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29136845
20210918,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29157520
20210919,区级数据,国网浙江杭州市钱塘区供电公司,国网浙江省电力有限公司杭州供电公司,29857380
