rq,type,区县,市,sum
20220208,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,0
20220209,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,0
20220210,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,600
20220211,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1440
20220212,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,320
20220213,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,200
20220214,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1320
20220215,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,240
20220216,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,520
20220217,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1040
20220218,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,960
20220219,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,280
20220220,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,240
20220221,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1520
20220222,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220223,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,280
20220224,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,320
20220225,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,2080
20220226,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1000
20220227,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,360
20220228,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,320
20220301,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1840
20220302,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220303,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1440
20220304,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1000
20220305,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,320
20220306,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,360
20220307,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1240
20220308,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1160
20220309,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1120
20220310,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,920
20220311,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220312,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,960
20220313,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220314,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1560
20220315,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,600
20220316,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,840
20220317,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1120
20220318,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1480
20220319,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1600
20220320,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220321,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1600
20220322,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,760
20220323,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1720
20220324,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1320
20220325,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1320
20220326,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1240
20220327,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,440
20220328,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,1800
20220329,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,640
20220330,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220331,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220401,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,360
20220402,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,360
20220403,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,320
20220404,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,320
20220405,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,320
20220406,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,920
20220407,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,960
20220408,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,920
20220409,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220410,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,360
20220411,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220412,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220413,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220414,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,360
20220415,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,360
20220416,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220417,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,320
20220418,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,440
20220419,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220420,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220421,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,360
20220422,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220423,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220424,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,360
20220425,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,440
20220426,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,440
20220427,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220428,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,440
20220429,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220430,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,440
20220501,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,320
20220502,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
20220503,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220504,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,440
20220505,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,560
20220506,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,520
20220507,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,480
20220508,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,440
20220509,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,440
20220510,区级数据,杭州湖塘配售电有限公司,国网浙江省电力有限公司杭州供电公司,400
