rq,type,区县,市,sum
20210401,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,277651
20210402,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,314103
20210403,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,312080
20210404,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,311298
20210405,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,315105
20210406,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,307311
20210407,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,292614
20210408,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,261097
20210409,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,303898
20210410,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,301084
20210411,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,298418
20210412,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,295077
20210413,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,276340
20210414,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,259755
20210415,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,281893
20210416,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,285998
20210417,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,298105
20210418,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,286002
20210419,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,281085
20210420,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,303291
20210421,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,275427
20210422,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,273219
20210423,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,279804
20210424,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,307775
20210425,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,300986
20210426,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,276098
20210427,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,278689
20210428,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,277429
20210429,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,325234
20210430,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,329228
20210501,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,358251
20210502,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,320041
20210503,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,322547
20210504,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,324930
20210505,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,318299
20210506,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,316951
20210507,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,299151
20210508,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,285043
20210509,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,276250
20210510,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,267698
20210511,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,274090
20210512,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,266820
20210513,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,249805
20210514,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,264718
20210515,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,265888
20210516,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,282360
20210517,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,260828
20210518,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,250855
20210519,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,248398
20210520,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,286392
20210521,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,270380
20210522,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,261071
20210523,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,269140
20210524,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,254190
20210525,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,260350
20210526,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,236505
20210527,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,242615
20210528,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,254835
20210529,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,257005
20210530,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,255260
20210531,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,246440
20210601,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,245145
20210602,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,239845
20210603,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,391895
20210604,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,257310
20210605,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,274005
20210606,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,256015
20210607,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,244735
20210608,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,251138
20210609,区级数据,浙江丽水电力局客服中心,国网浙江省电力有限公司丽水供电公司,249353
