rq,type,区县,市,sum
20210401,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,698400
20210402,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,710250
20210403,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,708960
20210404,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,712920
20210405,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,710280
20210406,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,716850
20210407,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,707640
20210408,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,642960
20210409,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,708930
20210410,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,715560
20210411,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,708960
20210412,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,713460
20210413,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,711840
20210414,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,706320
20210415,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,712890
20210416,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,739320
20210417,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,710280
20210418,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,715560
20210419,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,710250
20210420,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,726120
20210421,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,730080
20210422,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,713970
20210423,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,712740
20210424,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,715560
20210425,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,712920
20210426,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,718200
20210427,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,714210
20210428,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,716880
20210429,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,712920
20210430,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,719520
20210501,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,826440
20210502,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,884520
20210503,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,887160
20210504,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,716880
20210505,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,714210
20210506,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,722160
20210507,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,719520
20210508,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,723480
20210509,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,715530
20210510,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,736680
20210511,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,661440
20210512,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,720840
20210513,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,715530
20210514,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,722160
20210515,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,716880
20210516,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,722160
20210517,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,504360
20210518,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,320880
20210519,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,319446
20210520,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,261233
20210521,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,366689
20210522,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,8280
20210523,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,310320
20210524,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,314400
20210525,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,312900
20210526,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,313350
20210527,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,318240
20210528,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,720840
20210529,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,722910
20210530,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,732780
20210531,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,635340
20210601,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,728850
20210602,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,723810
20210603,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,735210
20210604,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,732390
20210605,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,723330
20210606,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,757740
20210607,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,728010
20210608,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,734190
20210609,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,728040
20210610,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,730380
20210611,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,731490
20210612,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,728520
20210613,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,710550
20210614,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,705210
20210615,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,718315
20210616,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,724920
20210617,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,723480
20210618,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,728400
20210619,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,717240
20210620,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,723450
20210621,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,718860
20210622,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,728700
20210623,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,723060
20210624,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,729750
20210625,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,721950
20210626,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,729810
20210627,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,722040
20210628,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,722820
20210629,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,720900
20210630,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,723840
20210701,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,663720
20210702,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,678240
20210703,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,698130
20210704,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,687630
20210705,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,697740
20210706,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,760950
20210707,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,693990
20210708,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,644370
20210709,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,682650
20210710,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,695430
20210711,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,681990
20210712,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,756480
20210713,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,600330
20210714,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,676050
20210715,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,687720
20210716,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,693390
20210717,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,694500
20210718,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,694710
20210719,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,682710
20210720,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,713640
20210721,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,689550
20210722,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,690960
20210723,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,607920
20210724,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,576390
20210725,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,389580
20210726,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,417180
20210727,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,648360
20210728,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,648240
20210729,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,678240
20210730,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,619470
20210731,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,690480
20210801,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,686520
20210802,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,682560
20210803,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,664080
20210804,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,656160
20210805,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,665400
20210806,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,681240
20210807,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,685200
20210808,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,687840
20210809,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,687840
20210810,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,714240
20210811,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,662760
20210812,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,654840
20210813,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,672000
20210814,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,653520
20210815,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,654840
20210816,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,648240
20210817,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,662760
20210818,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,673320
20210819,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,679920
20210820,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,681240
20210821,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,683880
20210822,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,675960
20210823,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,673320
20210824,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,640320
20210825,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,674640
20210826,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,640320
20210827,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,682560
20210828,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,674640
20210829,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,685200
20210830,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,660120
20210831,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,645600
20210901,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,662760
20210902,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,703680
20210903,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,641640
20210904,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,645600
20210905,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,670680
20210906,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,665400
20210907,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,666720
20210908,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,664080
20210909,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,670680
20210910,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,669360
20210911,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,627120
20210912,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,670680
20210913,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,575640
20210914,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,591480
20210915,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,629760
20210916,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,664080
20210917,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,669360
20210918,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,664080
20210919,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,668040
20210920,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,627120
20210921,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,650850
20210922,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,662760
20210923,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,669360
20210924,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,666720
20210925,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,670680
20210926,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,670680
20210927,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,673320
20210928,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,714240
20210929,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,615240
20210930,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,661440
20211001,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,866040
20211002,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,864720
20211003,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,864690
20211004,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,673320
20211005,区级数据,浙江宁波电业局客服中心,国网浙江省电力有限公司宁波供电公司,711600
